Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.00,9.50,9.50,9.50,9.50
05-19-2016,10.00,9.50,9.50,9.50,9.50
05-20-2016,9.50,9.05,9.05,9.05,9.05
05-21-2016,9.50,9.05,9.05,9.05,9.05
05-23-2016,9.50,9.05,9.05,9.05,9.05
05-24-2016,9.50,9.05,9.05,9.05,9.05
05-25-2016,9.50,9.05,9.05,9.05,9.05
05-26-2016,9.50,9.05,9.05,9.05,9.05
05-27-2016,9.50,9.05,9.05,9.05,9.05
05-30-2016,9.50,9.05,9.05,9.05,9.05
05-31-2016,9.50,9.05,9.05,9.05,9.05
06-01-2016,9.50,9.05,9.05,9.05,9.05
06-02-2016,9.50,9.05,9.05,9.05,9.05
06-04-2016,9.50,9.05,9.05,9.05,9.05
06-06-2016,9.50,9.05,9.05,9.05,9.05
06-07-2016,9.50,9.05,9.05,9.05,9.05
06-08-2016,9.50,9.05,9.05,9.05,9.05
06-09-2016,9.50,9.05,9.05,9.05,9.05
06-10-2016,9.50,9.05,9.05,9.05,9.05
06-13-2016,9.50,9.05,9.05,9.05,9.05
06-14-2016,9.50,9.05,9.05,9.05,9.05
06-15-2016,9.05,8.60,8.60,8.60,8.60
06-16-2016,8.60,8.25,8.25,8.25,8.25
06-17-2016,8.60,8.25,8.25,8.25,8.25
06-19-2016,8.60,8.25,8.25,8.25,8.25
06-21-2016,8.60,8.25,8.25,8.25,8.25
06-22-2016,8.60,8.25,8.25,8.25,8.25
06-23-2016,8.60,8.25,8.25,8.25,8.25
06-24-2016,8.60,8.25,8.25,8.25,8.25
06-27-2016,8.60,8.25,8.25,8.25,8.25
06-28-2016,8.60,8.25,8.25,8.25,8.25
06-29-2016,8.60,8.25,8.25,8.25,8.25
06-30-2016,8.60,8.25,8.25,8.25,8.25
07-01-2016,8.60,8.25,8.25,8.25,8.25
07-05-2016,8.60,8.25,8.25,8.25,8.25
07-05-2016,8.60,8.25,8.25,8.25,8.25
07-08-2016,8.25,8.17,8.17,8.17,8.17
07-08-2016,8.25,8.17,8.17,8.17,8.17
07-11-2016,8.25,8.17,8.17,8.17,8.17
07-12-2016,8.25,8.17,8.17,8.17,8.17
