Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,290.00,290.50,290.50,287.10,290.00
05-19-2016,290.00,303.00,303.00,289.00,289.30
05-20-2016,289.30,289.00,290.60,287.10,287.50
05-21-2016,287.50,287.00,287.50,282.20,284.50
05-23-2016,284.50,283.00,288.00,281.40,286.45
05-24-2016,286.45,285.00,287.00,283.50,284.55
05-25-2016,284.55,285.30,305.00,283.50,287.00
05-26-2016,287.00,289.95,299.00,282.20,284.40
05-27-2016,284.40,287.95,294.05,283.00,283.75
05-30-2016,283.75,286.80,287.75,278.00,279.40
05-31-2016,279.40,277.00,282.05,275.90,280.95
06-01-2016,280.95,281.70,286.20,280.10,283.90
06-02-2016,283.90,285.95,286.00,280.00,282.15
06-04-2016,282.15,283.00,284.00,280.20,281.15
06-06-2016,281.15,278.40,282.75,272.10,275.00
06-07-2016,275.90,278.00,279.00,268.15,268.55
06-08-2016,268.55,268.00,272.95,263.00,264.90
06-09-2016,264.90,265.00,267.45,261.00,261.70
06-10-2016,261.70,263.80,265.70,261.25,261.75
06-13-2016,261.75,262.50,267.90,261.25,264.70
06-14-2016,264.70,265.90,265.90,261.00,263.55
06-15-2016,263.55,266.00,267.00,263.10,264.45
06-16-2016,264.45,268.00,279.35,267.15,272.90
06-18-2016,272.90,275.00,277.90,271.00,271.65
06-19-2016,271.65,270.00,272.00,266.20,270.20
06-21-2016,270.20,271.05,274.90,271.00,272.70
06-22-2016,272.70,271.25,272.00,266.55,267.50
06-23-2016,267.50,268.50,269.50,267.00,267.95
06-24-2016,267.95,267.00,267.00,259.00,263.30
06-27-2016,263.30,264.40,268.70,264.40,266.70
06-28-2016,266.70,265.00,269.10,264.60,266.75
06-29-2016,266.75,268.70,275.00,267.05,272.65
06-30-2016,272.65,274.00,275.00,272.05,273.15
07-01-2016,273.15,275.00,278.00,273.05,274.50
07-05-2016,274.50,276.00,279.85,274.10,274.65
07-05-2016,274.65,276.00,286.90,276.00,280.65
07-08-2016,280.65,283.65,287.95,280.00,281.40
07-08-2016,281.40,280.00,286.50,275.70,281.35
07-11-2016,281.35,284.35,285.90,281.60,283.70
07-12-2016,282.20,278.00,283.75,276.45,277.05
