Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,6.76,7.09,7.09,7.09,7.09
05-19-2016,6.76,7.09,7.09,7.09,7.09
05-20-2016,6.76,7.09,7.09,7.09,7.09
05-21-2016,6.76,7.09,7.09,7.09,7.09
05-23-2016,6.76,7.09,7.09,7.09,7.09
05-24-2016,6.76,7.09,7.09,7.09,7.09
05-25-2016,6.76,7.09,7.09,7.09,7.09
05-26-2016,6.76,7.09,7.09,7.09,7.09
05-27-2016,6.76,7.09,7.09,7.09,7.09
05-30-2016,6.76,7.09,7.09,7.09,7.09
05-31-2016,6.76,7.09,7.09,7.09,7.09
06-01-2016,7.09,6.74,6.74,6.74,6.74
06-02-2016,7.09,6.74,6.74,6.74,6.74
06-04-2016,7.09,6.74,6.74,6.74,6.74
06-06-2016,6.74,7.07,7.07,6.41,7.07
06-07-2016,6.74,7.07,7.07,6.41,7.07
06-08-2016,7.07,7.42,7.42,7.42,7.42
06-09-2016,7.07,7.42,7.42,7.42,7.42
06-10-2016,7.07,7.42,7.42,7.42,7.42
06-13-2016,7.42,7.79,7.79,7.79,7.79
06-14-2016,7.42,7.79,7.79,7.79,7.79
06-15-2016,7.42,7.79,7.79,7.79,7.79
06-16-2016,7.79,7.41,7.41,7.41,7.41
06-17-2016,7.79,7.41,7.41,7.41,7.41
06-19-2016,7.41,7.41,7.41,7.41,7.41
06-21-2016,7.41,7.78,7.78,7.78,7.78
06-22-2016,7.41,7.78,7.78,7.78,7.78
06-23-2016,7.78,7.78,7.78,7.78,7.78
06-24-2016,7.78,7.78,7.78,7.78,7.78
06-27-2016,7.78,7.40,7.40,7.40,7.40
06-28-2016,7.78,7.40,7.40,7.40,7.40
06-29-2016,7.40,7.03,7.03,7.03,7.03
06-30-2016,7.03,6.68,6.68,6.68,6.68
07-01-2016,7.03,6.68,6.68,6.68,6.68
07-05-2016,6.68,6.35,6.35,6.35,6.35
07-05-2016,6.35,6.04,6.04,6.04,6.04
07-08-2016,6.35,6.04,6.04,6.04,6.04
07-08-2016,6.04,5.74,5.74,5.74,5.74
07-11-2016,5.74,5.46,5.46,5.46,5.46
07-12-2016,5.46,5.19,5.19,5.19,5.19
