Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,27.50,26.50,27.20,25.85,26.40

06-08-2016,26.40,25.00,25.50,23.80,25.00
06-09-2016,25.00,24.00,27.50,23.50,27.45
06-10-2016,27.45,29.50,30.15,27.25,28.85
06-13-2016,28.85,29.00,29.00,26.60,26.75
06-14-2016,26.75,28.15,28.15,25.15,27.50
06-15-2016,27.50,27.50,27.80,26.10,27.05
06-16-2016,27.05,26.00,27.90,26.00,27.75
06-17-2016,27.75,28.20,29.90,26.85,29.65
06-19-2016,29.65,28.80,30.00,28.25,28.60
06-21-2016,28.60,28.00,28.90,27.10,27.45
06-22-2016,27.45,27.05,27.50,26.70,26.90
06-23-2016,26.90,26.10,29.55,26.10,29.55
06-24-2016,29.55,29.00,32.00,27.30,29.50
06-27-2016,29.50,29.45,31.00,28.65,28.90
06-28-2016,28.90,28.30,29.90,27.50,27.80
06-29-2016,27.80,28.80,29.50,28.00,28.90
06-30-2016,28.90,29.50,29.70,28.00,28.70
07-01-2016,28.70,29.50,29.50,27.70,27.95
07-05-2016,27.95,27.45,28.10,27.20,27.30
07-05-2016,27.30,28.45,28.45,26.50,26.55
07-08-2016,26.55,26.60,28.35,25.75,25.80
07-08-2016,25.80,25.50,27.30,24.15,25.55
07-11-2016,25.55,25.25,27.30,25.20,27.10
07-12-2016,27.10,26.70,27.00,25.65,26.05
