Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,101.00,101.40,106.50,100.20,103.40
05-19-2016,103.40,103.90,105.40,101.30,103.20
05-20-2016,103.20,102.00,104.00,100.00,100.40
05-21-2016,100.40,102.00,102.30,98.40,99.10
05-23-2016,99.10,99.60,102.90,97.85,100.60
05-24-2016,100.60,100.40,100.70,98.50,99.80
05-25-2016,99.80,100.00,101.25,99.00,99.70
05-26-2016,99.70,99.05,103.70,99.00,99.90
05-27-2016,99.90,100.60,108.85,100.50,104.00
05-30-2016,104.00,105.00,113.50,101.90,109.90
05-31-2016,109.90,109.70,115.95,107.05,108.65
06-01-2016,108.65,109.10,109.10,107.00,107.60
06-02-2016,107.60,107.00,108.40,104.10,106.10
06-04-2016,106.10,107.15,112.00,107.15,108.85
06-06-2016,108.85,108.85,108.85,106.05,107.80
06-07-2016,106.90,106.50,108.00,103.05,106.15
06-08-2016,106.15,105.15,110.95,105.15,106.75
06-09-2016,106.75,106.20,124.85,106.00,117.05
06-10-2016,117.05,117.25,119.90,113.20,115.25
06-13-2016,115.25,114.00,118.40,113.00,114.50
06-14-2016,114.50,115.80,122.55,115.00,115.80
06-15-2016,115.80,116.80,121.80,115.80,118.00
06-16-2016,118.00,118.00,118.85,110.45,114.40
06-17-2016,114.40,115.80,119.75,114.00,114.30
06-19-2016,114.30,115.85,122.90,115.85,119.50
06-21-2016,119.50,120.00,122.00,118.00,118.40
06-22-2016,118.40,119.35,119.50,115.60,116.30
06-23-2016,116.30,119.80,119.80,113.40,113.85
06-24-2016,113.85,118.80,118.80,110.00,111.70
06-27-2016,111.70,110.00,118.05,110.00,116.25
06-28-2016,116.25,117.80,117.85,114.75,117.05
06-29-2016,117.05,118.70,133.25,118.70,128.20
06-30-2016,128.20,129.90,129.95,123.10,126.60
07-01-2016,126.60,128.00,132.55,125.50,126.10
07-05-2016,126.10,129.20,129.80,125.15,126.55
07-05-2016,126.55,126.00,134.45,126.00,129.10
07-08-2016,129.10,129.85,131.60,126.20,127.95
07-08-2016,127.95,127.50,128.00,122.05,124.05
07-11-2016,124.05,131.40,133.05,129.00,132.00
07-12-2016,132.00,132.90,134.75,129.00,131.70
