Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,60.00,64.50,67.90,60.00,62.90
05-19-2016,62.90,61.05,65.00,60.00,61.90
05-20-2016,61.90,58.00,64.90,58.00,64.90
05-20-2016,64.90,61.20,75.00,61.00,68.35
05-23-2016,68.35,69.00,74.90,65.60,68.50
05-24-2016,68.50,66.05,66.05,64.55,64.55
05-25-2016,64.55,65.70,65.70,60.50,61.80
05-26-2016,61.80,67.40,67.40,58.75,60.55
05-27-2016,60.55,64.00,67.10,59.00,59.00
05-30-2016,59.00,65.00,69.00,59.20,60.00
05-31-2016,60.00,61.90,67.00,61.90,64.00
06-01-2016,64.00,63.00,69.50,62.45,64.80
06-02-2016,64.80,70.00,74.00,62.45,62.50
06-04-2016,62.50,65.00,65.00,62.50,62.50
06-06-2016,62.50,62.00,69.00,62.00,65.00
06-07-2016,65.00,63.20,65.00,63.00,64.00
06-08-2016,64.00,66.00,70.05,66.00,69.80
06-09-2016,69.80,64.10,75.00,64.10,72.00
06-10-2016,72.00,70.00,72.00,69.00,72.00
06-13-2016,72.00,68.00,68.00,66.30,67.00
06-14-2016,72.00,68.00,68.00,66.30,67.00
06-15-2016,67.00,66.00,69.90,63.90,66.95
06-16-2016,67.00,66.00,69.90,63.90,66.95
06-17-2016,66.95,68.05,71.95,66.50,66.50
06-19-2016,66.50,67.00,69.15,67.00,67.90
06-21-2016,67.90,67.95,69.00,67.95,68.75
06-22-2016,68.75,68.75,68.75,63.80,65.95
06-23-2016,65.95,69.95,69.95,64.00,64.25
06-24-2016,64.25,64.20,71.00,64.20,70.00
06-27-2016,70.00,63.65,68.10,63.65,68.00
06-28-2016,68.00,71.95,71.95,68.50,68.90
06-29-2016,68.90,67.00,67.00,67.00,67.00
06-30-2016,67.00,66.00,68.00,65.20,65.30
07-01-2016,65.30,66.05,69.40,66.05,69.40
07-05-2016,69.40,66.00,69.00,66.00,68.00
07-05-2016,68.00,66.00,68.00,65.00,66.00
07-07-2016,66.00,64.65,67.90,64.65,66.95
07-08-2016,66.95,64.00,67.65,63.05,67.45
07-11-2016,67.45,64.30,71.45,64.30,68.65
07-12-2016,68.65,65.30,70.00,65.30,66.20
