Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,132.00,132.00,134.00,132.00,134.00
05-19-2016,134.00,134.00,134.00,134.00,134.00
05-20-2016,134.00,134.00,134.00,134.00,134.00
05-20-2016,134.00,127.30,134.00,127.30,134.00
05-23-2016,134.00,134.00,140.70,134.00,140.70
05-24-2016,140.70,147.70,147.70,133.70,138.60
05-25-2016,140.70,147.70,147.70,133.70,138.60
05-26-2016,138.60,138.00,138.00,138.00,138.00
05-27-2016,138.00,131.10,142.90,131.10,140.45
05-30-2016,138.00,131.10,142.90,131.10,140.45
05-31-2016,140.45,135.00,135.00,133.45,133.45
06-01-2016,140.45,135.00,135.00,133.45,133.45
06-02-2016,140.45,135.00,135.00,133.45,133.45
06-04-2016,133.45,128.10,128.10,126.80,126.80
06-06-2016,126.80,133.00,133.00,133.00,133.00
06-07-2016,133.00,134.00,134.00,130.00,130.00
06-08-2016,130.00,127.00,128.00,127.00,128.00
06-09-2016,128.00,127.00,127.00,127.00,127.00
06-10-2016,127.00,126.70,133.00,126.60,133.00
06-13-2016,133.00,133.00,133.00,133.00,133.00
06-14-2016,133.00,134.00,134.00,134.00,134.00
06-15-2016,134.00,135.00,137.00,135.00,137.00
06-16-2016,137.00,137.00,137.00,137.00,137.00
06-17-2016,137.00,143.75,143.85,137.00,137.00
06-19-2016,137.00,143.75,143.85,137.00,137.00
06-21-2016,137.00,133.00,143.40,133.00,133.00
06-22-2016,133.00,135.00,135.00,135.00,135.00
06-23-2016,135.00,139.60,141.75,135.05,135.05
06-24-2016,135.05,135.05,141.80,135.00,135.80
06-27-2016,135.80,142.55,142.55,142.55,142.55
06-28-2016,142.55,149.65,149.65,140.20,140.25
06-29-2016,140.25,140.20,147.05,140.20,140.35
06-30-2016,140.25,140.20,147.05,140.20,140.35
07-01-2016,140.25,140.20,147.05,140.20,140.35
07-05-2016,140.35,140.20,147.35,140.20,147.35
07-05-2016,147.35,152.50,152.50,152.00,152.50
07-07-2016,147.35,152.50,152.50,152.00,152.50
07-08-2016,152.50,147.00,160.10,147.00,160.10
07-11-2016,152.50,147.00,160.10,147.00,160.10
07-12-2016,160.10,159.00,162.10,159.00,162.00
