Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,488.35,494.75,532.00,494.75,508.95
05-19-2016,508.95,525.00,532.00,490.70,494.20
05-19-2016,494.20,497.90,502.00,483.10,485.25
05-20-2016,485.25,490.40,490.40,475.00,476.65
05-23-2016,476.65,481.20,481.20,465.70,468.90
05-24-2016,468.90,467.05,467.05,461.00,464.00
05-25-2016,464.00,467.90,469.00,462.30,462.75
05-26-2016,462.75,462.05,472.90,462.05,470.20
05-27-2016,470.20,465.25,479.50,465.25,473.75
05-30-2016,473.75,480.00,489.00,462.00,483.35
05-31-2016,483.35,486.00,486.00,471.00,473.45
06-01-2016,473.45,475.00,479.00,470.50,471.60
06-02-2016,471.60,476.45,476.45,472.00,475.40
06-04-2016,475.40,479.80,481.50,475.00,478.00
06-06-2016,478.00,476.50,485.00,475.90,479.90
06-07-2016,479.90,481.70,494.00,480.00,490.40
06-08-2016,490.40,492.00,502.40,488.15,494.15
06-09-2016,494.15,492.00,506.00,492.00,501.85
06-10-2016,501.85,492.00,507.75,492.00,500.60
06-13-2016,500.60,495.00,505.00,495.00,500.30
06-14-2016,500.30,498.00,506.00,496.85,499.70
06-15-2016,499.70,508.00,599.60,508.00,599.60
06-16-2016,599.60,610.00,714.95,600.50,694.00
06-17-2016,694.00,699.00,749.75,689.10,694.25
06-19-2016,694.25,673.00,690.65,635.30,657.25
06-21-2016,657.25,664.00,682.00,645.00,650.15
06-22-2016,650.15,659.00,662.00,606.80,615.75
06-23-2016,615.75,617.10,635.00,585.95,617.60
06-24-2016,617.60,594.00,641.80,550.00,634.85
06-27-2016,634.85,639.00,655.00,628.75,641.95
06-28-2016,641.95,640.00,664.90,640.00,657.50
06-29-2016,657.50,661.00,669.00,646.45,653.95
06-30-2016,653.95,662.80,665.50,655.65,658.35
07-01-2016,658.35,661.10,662.95,650.00,654.10
07-05-2016,654.10,659.30,666.35,652.95,659.85
07-05-2016,659.85,658.50,673.55,653.40,663.40
07-07-2016,663.40,664.00,674.00,651.00,654.55
07-08-2016,654.55,655.90,720.80,642.25,677.80
07-11-2016,677.80,684.00,696.50,678.00,683.25
07-12-2016,683.25,679.00,696.50,679.00,682.70
07-13-2016,682.70,684.15,692.55,663.65,670.05
