Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,88.65,89.85,89.85,87.20,87.30
05-19-2016,87.30,88.75,89.15,87.00,89.15
05-20-2016,89.15,89.20,89.50,88.50,89.45
05-21-2016,89.45,89.00,89.60,85.15,87.05
05-23-2016,87.05,88.20,89.10,86.20,86.45
05-24-2016,86.45,87.40,87.40,83.50,83.85
05-25-2016,83.85,83.50,86.50,83.00,85.25
05-26-2016,85.25,85.10,87.00,85.00,86.10
05-27-2016,86.10,86.10,88.00,86.10,86.95
05-30-2016,86.95,87.30,88.85,86.30,87.65
05-31-2016,87.65,90.65,95.50,87.90,90.95
06-01-2016,90.95,91.95,92.00,88.00,88.50
06-02-2016,88.50,97.00,97.00,87.25,90.10
06-04-2016,90.10,90.40,90.40,87.20,90.00
06-06-2016,90.00,88.00,89.00,86.50,87.00
06-07-2016,87.05,87.00,93.00,87.00,90.40
06-08-2016,90.40,90.40,95.90,90.05,93.85
06-09-2016,93.85,95.00,97.00,91.35,92.65
06-10-2016,92.65,94.40,94.40,92.10,92.35
06-13-2016,92.35,92.50,92.50,90.25,91.40
06-14-2016,91.40,91.05,96.35,90.75,94.45
06-15-2016,94.45,99.00,105.00,97.90,103.50
06-16-2016,103.50,104.80,106.75,101.00,102.20
06-17-2016,102.20,102.00,104.80,98.60,99.20
06-19-2016,99.20,98.10,100.10,97.20,97.95
06-21-2016,97.95,98.75,101.45,98.75,100.10
06-22-2016,100.10,99.65,104.50,98.00,99.95
06-23-2016,99.95,99.60,100.60,99.05,99.05
06-24-2016,99.05,96.00,97.25,95.05,96.75
06-27-2016,96.75,97.30,99.00,94.50,96.80
06-28-2016,96.80,97.95,102.00,96.30,97.00
06-29-2016,97.00,99.50,100.95,98.25,99.75
06-30-2016,99.75,100.00,101.90,98.50,99.55
07-01-2016,99.55,101.80,103.45,101.00,101.40
07-05-2016,101.40,102.00,111.70,102.00,108.10
07-05-2016,108.10,108.20,114.35,106.90,111.45
07-08-2016,111.45,111.65,114.30,109.50,111.20
07-08-2016,111.20,111.30,111.30,106.60,107.85
07-11-2016,107.85,109.00,110.00,104.30,104.95
07-12-2016,104.95,105.10,105.10,102.45,102.85
