Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,3.52,3.35,3.35,3.35,3.35
05-19-2016,3.52,3.35,3.35,3.35,3.35
05-20-2016,3.52,3.35,3.35,3.35,3.35
05-20-2016,3.35,3.45,3.45,3.19,3.19
05-23-2016,3.35,3.45,3.45,3.19,3.19
05-24-2016,3.35,3.45,3.45,3.19,3.19
05-25-2016,3.35,3.45,3.45,3.19,3.19
05-26-2016,3.35,3.45,3.45,3.19,3.19
05-27-2016,3.19,3.34,3.34,3.34,3.34
05-30-2016,3.19,3.34,3.34,3.34,3.34
05-31-2016,3.19,3.34,3.34,3.34,3.34
06-01-2016,3.19,3.34,3.34,3.34,3.34
06-02-2016,3.34,3.23,3.23,3.23,3.23
06-04-2016,3.23,3.20,3.20,3.10,3.10
06-06-2016,3.23,3.20,3.20,3.10,3.10
06-07-2016,3.23,3.20,3.20,3.10,3.10
06-08-2016,3.23,3.20,3.20,3.10,3.10
06-09-2016,3.23,3.20,3.20,3.10,3.10
06-10-2016,3.23,3.20,3.20,3.10,3.10
06-13-2016,3.10,2.95,2.95,2.95,2.95
06-14-2016,3.10,2.95,2.95,2.95,2.95
06-15-2016,3.10,2.95,2.95,2.95,2.95
06-16-2016,3.10,2.95,2.95,2.95,2.95
06-17-2016,3.10,2.95,2.95,2.95,2.95
06-19-2016,3.10,2.95,2.95,2.95,2.95
06-21-2016,3.10,2.95,2.95,2.95,2.95
06-22-2016,2.95,2.81,2.81,2.81,2.81
06-23-2016,2.95,2.81,2.81,2.81,2.81
06-24-2016,2.95,2.81,2.81,2.81,2.81
06-27-2016,2.95,2.81,2.81,2.81,2.81
06-28-2016,2.95,2.81,2.81,2.81,2.81
06-29-2016,2.95,2.81,2.81,2.81,2.81
06-30-2016,2.95,2.81,2.81,2.81,2.81
07-01-2016,2.95,2.81,2.81,2.81,2.81
07-05-2016,2.95,2.81,2.81,2.81,2.81
07-05-2016,2.95,2.81,2.81,2.81,2.81
07-08-2016,2.95,2.81,2.81,2.81,2.81
07-08-2016,2.95,2.81,2.81,2.81,2.81
07-11-2016,2.95,2.81,2.81,2.81,2.81
07-12-2016,2.95,2.81,2.81,2.81,2.81
