Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,37.00,37.25,37.25,37.00,37.25
05-19-2016,37.25,35.50,37.50,35.50,37.50
05-20-2016,37.25,35.50,37.50,35.50,37.50
05-21-2016,37.25,35.50,37.50,35.50,37.50
05-23-2016,37.50,37.50,37.50,37.25,37.25
05-24-2016,37.25,38.50,38.50,38.50,38.50
05-25-2016,37.25,38.50,38.50,38.50,38.50
05-26-2016,38.50,40.00,40.00,40.00,40.00
05-27-2016,40.00,38.00,38.00,38.00,38.00
05-30-2016,38.00,36.10,37.00,36.10,37.00
05-31-2016,38.00,36.10,37.00,36.10,37.00
06-01-2016,37.00,37.00,37.00,36.10,37.00
06-02-2016,37.00,36.00,36.00,36.00,36.00
06-04-2016,36.00,35.75,35.75,35.25,35.40
06-06-2016,35.40,35.00,35.00,35.00,35.00
06-07-2016,35.00,36.00,36.75,34.00,35.10
06-08-2016,35.10,36.00,36.85,35.50,35.50
06-09-2016,35.50,37.00,37.00,35.50,35.50
06-10-2016,35.50,37.00,37.00,35.50,35.50
06-13-2016,35.50,37.00,37.00,35.50,35.50
06-14-2016,35.50,37.00,37.00,35.50,35.50
06-15-2016,35.50,35.00,35.25,35.00,35.25
06-16-2016,35.25,36.00,36.00,36.00,36.00
06-17-2016,36.00,37.00,37.80,35.50,35.50
06-19-2016,35.50,35.00,37.00,34.00,37.00
06-21-2016,35.50,35.00,37.00,34.00,37.00
06-22-2016,35.50,35.00,37.00,34.00,37.00
06-23-2016,37.00,35.15,37.00,35.15,37.00
06-24-2016,37.00,35.15,37.00,35.15,37.00
06-27-2016,37.00,35.25,35.25,35.25,35.25
06-28-2016,35.25,36.50,36.50,35.25,35.25
06-29-2016,35.25,36.50,36.50,35.25,35.25
06-30-2016,35.25,35.25,37.00,35.25,37.00
07-01-2016,37.00,35.25,35.25,35.25,35.25
07-05-2016,35.25,35.25,37.00,35.25,37.00
07-05-2016,37.00,35.25,35.50,35.25,35.50
07-08-2016,35.50,35.50,35.50,35.25,35.50
07-08-2016,35.50,35.50,35.50,33.75,35.00
07-11-2016,35.00,35.50,35.50,35.50,35.50
07-12-2016,35.50,35.25,35.50,35.25,35.50
