Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,8.68,8.76,8.90,8.60,8.74

06-08-2016,8.74,8.59,9.50,8.59,9.28
06-09-2016,9.28,9.35,9.45,9.15,9.21
06-10-2016,9.21,9.01,9.40,9.01,9.11
06-13-2016,9.11,8.90,9.50,8.90,9.32
06-14-2016,9.32,9.36,9.40,9.21,9.31
06-15-2016,9.31,9.46,9.60,9.31,9.45
06-16-2016,9.45,9.58,9.65,9.00,9.21
06-17-2016,9.21,9.80,10.00,9.13,9.23
06-19-2016,9.23,9.30,9.90,9.21,9.80
06-21-2016,9.80,9.75,9.99,9.65,9.69
06-22-2016,9.69,9.98,11.62,9.98,11.62
06-23-2016,11.62,12.35,13.40,11.65,12.71
06-24-2016,12.71,12.80,12.80,11.05,12.32
06-27-2016,12.32,12.53,13.40,12.53,13.09
06-28-2016,13.09,13.40,13.40,12.26,12.48
06-29-2016,12.48,12.36,12.40,11.86,12.29
06-30-2016,12.29,12.25,13.00,12.25,12.54
07-01-2016,12.54,12.69,12.69,12.30,12.51
07-05-2016,12.51,12.85,12.89,12.32,12.39
07-05-2016,12.39,12.19,12.35,11.91,11.97
07-08-2016,11.97,12.40,12.40,11.90,11.98
07-08-2016,11.98,12.40,12.40,11.90,11.95
07-11-2016,11.95,11.95,12.20,11.90,12.00
07-12-2016,11.94,12.14,12.14,11.75,11.82
