Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,326.70,326.00,326.00,323.10,323.50
05-19-2016,323.50,323.00,326.70,320.90,323.90
05-20-2016,323.90,326.00,326.10,320.30,323.00
05-20-2016,323.00,327.00,327.00,320.50,324.70
05-23-2016,324.70,326.00,344.60,326.00,328.35
05-24-2016,328.35,330.00,330.00,323.95,324.65
05-25-2016,324.65,327.00,330.00,322.00,322.75
05-26-2016,322.75,321.10,325.00,307.50,311.70
05-27-2016,311.70,315.00,321.00,311.00,317.20
05-30-2016,317.20,314.50,322.00,311.50,313.90
05-31-2016,313.90,312.00,321.50,308.00,315.90
06-01-2016,315.90,315.00,320.35,315.00,316.15
06-02-2016,316.15,317.00,318.00,314.00,314.70
06-04-2016,314.70,319.50,320.50,314.15,315.65
06-06-2016,315.65,315.30,317.95,315.10,315.45
06-07-2016,315.45,320.00,334.30,320.00,324.70
06-08-2016,324.70,327.35,327.35,322.10,325.50
06-09-2016,325.50,323.25,324.90,322.10,323.20
06-10-2016,323.20,325.00,325.05,317.95,318.20
06-13-2016,318.20,321.85,321.85,315.60,320.30
06-14-2016,320.30,318.00,319.95,315.50,318.00
06-15-2016,318.00,319.50,326.00,317.00,322.10
06-16-2016,322.10,321.30,324.90,306.65,307.65
06-17-2016,307.65,310.00,316.65,306.75,311.15
06-19-2016,311.15,312.00,319.50,312.00,317.00
06-21-2016,317.00,319.75,331.65,319.75,320.80
06-22-2016,320.80,323.80,324.45,310.80,312.35
06-23-2016,312.35,316.70,316.70,310.00,310.90
06-24-2016,310.90,303.00,310.20,294.40,308.90
06-27-2016,308.90,308.00,310.75,303.35,306.20
06-28-2016,306.20,309.50,312.20,303.00,305.10
06-29-2016,305.10,305.00,310.00,302.20,306.50
06-30-2016,306.50,307.00,323.20,305.80,316.15
07-01-2016,316.15,321.00,323.30,310.00,313.00
07-05-2016,313.00,315.00,321.00,315.00,318.75
07-05-2016,318.75,315.00,319.20,312.10,314.05
07-08-2016,314.05,315.00,318.65,313.55,314.15
07-08-2016,314.15,313.90,326.00,313.90,314.85
07-11-2016,314.85,317.40,321.45,317.00,317.90
07-12-2016,317.90,319.00,367.00,319.00,359.20
