Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,17.15,16.30,16.30,16.30,16.30

06-08-2016,17.15,16.30,16.30,16.30,16.30
06-09-2016,17.15,16.30,16.30,16.30,16.30
06-10-2016,17.15,16.30,16.30,16.30,16.30
06-13-2016,17.15,16.30,16.30,16.30,16.30
06-14-2016,17.15,16.30,16.30,16.30,16.30
06-15-2016,17.15,16.30,16.30,16.30,16.30
06-16-2016,17.15,16.30,16.30,16.30,16.30
06-17-2016,17.15,16.30,16.30,16.30,16.30
06-19-2016,17.15,16.30,16.30,16.30,16.30
06-21-2016,17.15,16.30,16.30,16.30,16.30
06-22-2016,17.15,16.30,16.30,16.30,16.30
06-23-2016,17.15,16.30,16.30,16.30,16.30
06-24-2016,17.15,16.30,16.30,16.30,16.30
06-27-2016,17.15,16.30,16.30,16.30,16.30
06-28-2016,17.15,16.30,16.30,16.30,16.30
06-29-2016,17.15,16.30,16.30,16.30,16.30
06-30-2016,17.15,16.30,16.30,16.30,16.30
07-01-2016,17.15,16.30,16.30,16.30,16.30
07-05-2016,17.15,16.30,16.30,16.30,16.30
07-05-2016,17.15,16.30,16.30,16.30,16.30
07-07-2016,17.15,16.30,16.30,16.30,16.30
07-08-2016,17.15,16.30,16.30,16.30,16.30
07-11-2016,17.15,16.30,16.30,16.30,16.30
07-12-2016,17.15,16.30,16.30,16.30,16.30
