Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,93.20,94.00,96.00,89.00,89.90
05-19-2016,89.90,92.00,95.70,88.25,92.75
05-20-2016,92.75,93.00,100.25,90.10,93.20
05-21-2016,93.20,96.80,97.00,85.90,87.50
05-23-2016,87.50,91.00,91.00,82.50,84.20
05-24-2016,84.20,85.00,87.00,83.25,84.75
05-25-2016,84.75,84.20,89.90,83.20,87.95
05-26-2016,87.95,89.00,90.00,86.10,89.00
05-27-2016,89.00,88.65,90.40,85.50,86.80
05-30-2016,86.80,86.00,87.50,82.85,84.15
05-31-2016,84.15,82.80,86.50,81.00,82.20
06-01-2016,82.20,89.90,89.90,82.00,83.55
06-02-2016,83.55,83.65,85.00,83.00,84.60
06-04-2016,84.60,84.00,85.70,82.00,84.20
06-06-2016,84.20,84.50,84.75,83.00,83.30
06-07-2016,83.45,84.00,84.75,81.95,82.15
06-08-2016,82.15,83.00,83.85,81.90,82.25
06-09-2016,82.25,83.00,86.00,82.00,83.75
06-10-2016,83.75,85.25,99.90,83.40,91.55
06-13-2016,91.55,91.00,93.90,89.05,91.75
06-14-2016,91.75,96.00,96.00,90.85,92.20
06-15-2016,92.20,92.55,97.35,92.00,93.65
06-16-2016,93.65,93.25,96.00,91.50,94.25
06-17-2016,94.25,96.00,96.00,92.30,93.85
06-19-2016,93.85,89.35,96.00,89.00,93.70
06-21-2016,93.70,94.05,95.25,93.10,94.15
06-22-2016,94.15,93.00,95.00,92.75,93.25
06-23-2016,93.25,93.40,94.00,91.95,92.90
06-24-2016,92.90,92.00,92.00,84.75,90.30
06-27-2016,90.30,91.00,98.80,91.00,96.65
06-28-2016,96.65,99.00,106.20,97.10,103.45
06-29-2016,103.45,107.90,113.50,103.60,109.65
06-30-2016,109.65,111.00,113.40,106.10,110.60
07-01-2016,110.60,112.00,112.00,107.10,108.60
07-05-2016,108.60,109.00,114.90,108.70,113.55
07-05-2016,113.55,113.05,115.00,110.30,113.05
07-08-2016,113.05,112.95,113.00,108.50,110.60
07-08-2016,110.60,112.00,113.40,107.80,111.85
07-11-2016,111.85,113.90,114.00,109.50,110.70
07-12-2016,110.70,111.00,111.90,108.00,110.50
