Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,15.60,14.85,14.85,14.85,14.85
05-19-2016,15.60,14.85,14.85,14.85,14.85
05-20-2016,14.85,14.15,14.15,14.15,14.15
05-20-2016,14.85,14.15,14.15,14.15,14.15
05-23-2016,14.85,14.15,14.15,14.15,14.15
05-24-2016,14.85,14.15,14.15,14.15,14.15
05-25-2016,14.85,14.15,14.15,14.15,14.15
05-26-2016,14.85,14.15,14.15,14.15,14.15
05-27-2016,14.85,14.15,14.15,14.15,14.15
05-30-2016,14.85,14.15,14.15,14.15,14.15
05-31-2016,14.85,14.15,14.15,14.15,14.15
06-01-2016,14.85,14.15,14.15,14.15,14.15
06-02-2016,14.85,14.15,14.15,14.15,14.15
06-04-2016,14.85,14.15,14.15,14.15,14.15
06-06-2016,14.85,14.15,14.15,14.15,14.15
06-07-2016,14.85,14.15,14.15,14.15,14.15
06-08-2016,14.85,14.15,14.15,14.15,14.15
06-09-2016,14.85,14.15,14.15,14.15,14.15
06-10-2016,14.85,14.15,14.15,14.15,14.15
06-13-2016,14.85,14.15,14.15,14.15,14.15
06-14-2016,14.85,14.15,14.15,14.15,14.15
06-15-2016,14.85,14.15,14.15,14.15,14.15
06-16-2016,14.85,14.15,14.15,14.15,14.15
06-17-2016,14.85,14.15,14.15,14.15,14.15
06-19-2016,14.85,14.15,14.15,14.15,14.15
06-21-2016,14.85,14.15,14.15,14.15,14.15
06-22-2016,14.15,13.45,13.45,13.45,13.45
06-23-2016,14.15,13.45,13.45,13.45,13.45
06-24-2016,14.15,13.45,13.45,13.45,13.45
06-27-2016,13.45,13.90,13.90,13.90,13.90
06-28-2016,13.45,13.90,13.90,13.90,13.90
06-29-2016,13.45,13.90,13.90,13.90,13.90
06-30-2016,13.45,13.90,13.90,13.90,13.90
07-01-2016,13.45,13.90,13.90,13.90,13.90
07-05-2016,13.45,13.90,13.90,13.90,13.90
07-05-2016,13.45,13.90,13.90,13.90,13.90
07-07-2016,13.45,13.90,13.90,13.90,13.90
07-08-2016,13.45,13.90,13.90,13.90,13.90
07-11-2016,13.45,13.90,13.90,13.90,13.90
07-12-2016,13.45,13.90,13.90,13.90,13.90
