Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.15,18.20,18.50,18.00,18.25
05-19-2016,18.25,18.20,18.35,17.80,18.25
05-19-2016,18.25,18.80,18.80,18.00,18.15
05-20-2016,18.15,18.30,18.30,17.70,17.75
05-23-2016,17.75,18.30,18.65,17.95,18.45
05-24-2016,18.45,18.65,18.65,17.40,17.55
05-25-2016,17.55,19.85,20.25,18.90,19.15
05-26-2016,19.15,19.15,20.25,18.30,19.70
05-27-2016,19.70,19.90,21.25,19.60,19.90
05-30-2016,19.90,19.50,20.15,19.20,19.35
05-31-2016,19.35,19.20,19.85,18.85,19.15
06-01-2016,19.15,19.50,19.80,19.10,19.25
06-02-2016,19.25,19.25,19.25,18.80,18.90
06-04-2016,18.90,19.00,20.70,19.00,20.05
06-06-2016,20.05,20.25,20.80,19.80,20.40
06-07-2016,20.40,20.40,20.85,20.05,20.65
06-08-2016,20.65,20.60,21.35,20.55,21.00
06-09-2016,21.00,20.95,22.10,20.95,21.85
06-10-2016,21.85,22.00,22.40,21.00,21.20
06-13-2016,21.20,20.50,21.25,20.20,20.85
06-14-2016,20.85,21.30,21.40,20.25,20.65
06-15-2016,20.65,22.60,22.60,21.15,22.10
06-16-2016,22.10,22.25,22.70,21.10,21.90
06-17-2016,21.90,21.90,22.20,21.35,21.50
06-19-2016,21.50,21.25,21.95,21.20,21.30
06-21-2016,21.30,21.60,21.65,20.80,21.10
06-22-2016,21.10,20.65,21.40,20.20,20.50
06-23-2016,20.50,20.50,20.50,20.05,20.35
06-24-2016,20.35,19.60,19.90,18.85,19.65
06-27-2016,19.65,19.70,20.40,19.60,20.05
06-28-2016,20.05,20.25,21.10,20.00,20.80
06-29-2016,20.80,21.05,24.35,21.05,23.80
06-30-2016,23.80,24.60,25.00,24.00,24.10
07-01-2016,24.10,24.65,25.40,24.00,24.40
07-05-2016,24.40,24.80,25.25,24.00,24.40
07-05-2016,24.40,24.70,24.80,23.60,23.80
07-07-2016,23.80,24.15,24.35,23.60,24.00
07-08-2016,24.00,24.00,24.10,23.60,23.95
07-11-2016,23.95,24.50,24.50,22.85,23.75
07-12-2016,23.75,23.25,23.90,22.90,23.15
07-13-2016,23.15,23.50,23.60,22.65,22.75
