Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.83,2.97,2.97,2.97,2.97
05-19-2016,2.97,3.11,3.11,3.11,3.11
05-19-2016,3.11,3.24,3.24,3.24,3.24
05-20-2016,3.24,3.24,3.24,3.24,3.24
05-23-2016,3.24,3.40,3.40,3.40,3.40
05-24-2016,3.40,3.57,3.57,3.57,3.57
05-25-2016,3.57,3.74,3.74,3.74,3.74
05-26-2016,3.74,3.88,3.88,3.88,3.88
05-27-2016,3.88,3.88,3.88,3.88,3.88
05-30-2016,3.88,4.07,4.07,3.69,3.69
05-31-2016,3.88,4.07,4.07,3.69,3.69
06-01-2016,3.88,4.07,4.07,3.69,3.69
06-02-2016,3.88,4.07,4.07,3.69,3.69
06-04-2016,3.69,3.87,3.87,3.87,3.87
06-06-2016,3.87,4.06,4.06,4.00,4.00
06-07-2016,4.00,3.85,3.85,3.85,3.85
06-08-2016,3.85,4.00,4.00,4.00,4.00
06-09-2016,4.00,3.85,4.18,3.85,4.18
06-10-2016,4.18,3.98,3.98,3.98,3.98
06-13-2016,4.18,3.98,3.98,3.98,3.98
06-14-2016,3.98,3.79,3.79,3.79,3.79
06-15-2016,3.79,3.61,3.61,3.61,3.61
06-16-2016,3.61,3.43,3.79,3.43,3.79
06-17-2016,3.61,3.43,3.79,3.43,3.79
06-19-2016,3.61,3.43,3.79,3.43,3.79
06-21-2016,3.61,3.43,3.79,3.43,3.79
06-22-2016,3.79,3.97,3.97,3.97,3.97
06-23-2016,3.97,4.15,4.15,3.78,3.78
06-24-2016,3.97,4.15,4.15,3.78,3.78
06-27-2016,3.97,4.15,4.15,3.78,3.78
06-28-2016,3.97,4.15,4.15,3.78,3.78
06-29-2016,3.97,4.15,4.15,3.78,3.78
06-30-2016,3.97,4.15,4.15,3.78,3.78
07-01-2016,3.78,3.96,3.96,3.78,3.78
07-05-2016,3.78,3.96,3.96,3.78,3.78
07-05-2016,3.78,3.96,3.96,3.78,3.78
07-07-2016,3.78,3.60,3.96,3.60,3.96
07-08-2016,3.96,3.77,3.77,3.77,3.77
07-11-2016,3.77,3.70,3.70,3.70,3.70
07-12-2016,3.77,3.70,3.70,3.70,3.70
