Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,15.46,15.40,16.22,15.40,16.22
05-19-2016,16.22,17.01,17.03,17.01,17.03
05-19-2016,16.22,17.01,17.03,17.01,17.03
05-20-2016,16.22,17.01,17.03,17.01,17.03
05-23-2016,16.22,17.01,17.03,17.01,17.03
05-24-2016,16.22,17.01,17.03,17.01,17.03
05-25-2016,16.22,17.01,17.03,17.01,17.03
05-26-2016,16.22,17.01,17.03,17.01,17.03
05-27-2016,16.22,17.01,17.03,17.01,17.03
05-30-2016,16.22,17.01,17.03,17.01,17.03
05-31-2016,16.22,17.01,17.03,17.01,17.03
06-01-2016,16.22,17.01,17.03,17.01,17.03
06-02-2016,17.03,17.80,17.80,17.80,17.80
06-04-2016,17.03,17.80,17.80,17.80,17.80
06-06-2016,17.80,18.60,18.60,18.60,18.60
06-07-2016,17.80,18.60,18.60,18.60,18.60
06-08-2016,17.80,18.60,18.60,18.60,18.60
06-09-2016,18.60,19.00,19.00,19.00,19.00
06-10-2016,18.60,19.00,19.00,19.00,19.00
06-13-2016,18.60,19.00,19.00,19.00,19.00
06-14-2016,18.60,19.00,19.00,19.00,19.00
06-15-2016,18.60,19.00,19.00,19.00,19.00
06-16-2016,18.60,19.00,19.00,19.00,19.00
06-17-2016,18.60,19.00,19.00,19.00,19.00
06-19-2016,18.60,19.00,19.00,19.00,19.00
06-21-2016,19.00,18.05,18.05,18.05,18.05
06-22-2016,18.05,17.15,17.15,17.15,17.15
06-23-2016,17.15,16.30,16.30,16.30,16.30
06-24-2016,16.30,15.50,15.50,15.50,15.50
06-27-2016,15.50,14.75,14.75,14.75,14.75
06-28-2016,14.75,15.45,15.45,15.45,15.45
06-29-2016,15.45,16.20,16.20,16.20,16.20
06-30-2016,16.20,17.00,17.00,15.45,15.45
07-01-2016,15.45,16.20,16.20,16.15,16.15
07-05-2016,16.15,16.95,16.95,16.95,16.95
07-05-2016,16.95,17.75,17.75,17.75,17.75
07-07-2016,17.75,18.45,18.55,18.45,18.55
07-08-2016,17.75,18.45,18.55,18.45,18.55
07-11-2016,18.55,18.50,19.40,18.50,19.40
07-12-2016,19.40,20.35,20.35,20.35,20.35
