Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.30,14.00,14.00,12.80,12.80
05-19-2016,12.80,12.00,12.00,12.00,12.00
05-20-2016,12.00,13.20,13.20,11.70,11.70
05-20-2016,11.70,12.00,12.00,11.90,11.95
05-23-2016,11.95,10.80,11.70,10.80,11.70
05-24-2016,11.70,11.80,12.69,11.80,11.90
05-25-2016,11.90,12.88,12.88,12.60,12.60
05-26-2016,12.60,12.00,12.91,12.00,12.01
05-27-2016,12.01,12.00,12.05,11.99,12.00
05-30-2016,12.00,11.82,11.90,11.82,11.90
05-31-2016,11.90,11.00,11.80,11.00,11.80
06-01-2016,11.80,11.70,11.70,11.70,11.70
06-02-2016,11.70,11.69,11.85,11.69,11.75
06-04-2016,11.75,11.20,13.29,11.20,13.29
06-06-2016,11.75,11.20,13.29,11.20,13.29
06-07-2016,13.29,13.49,13.49,13.49,13.49
06-08-2016,13.29,13.49,13.49,13.49,13.49
06-09-2016,13.49,13.10,13.10,13.10,13.10
06-10-2016,13.49,13.10,13.10,13.10,13.10
06-13-2016,13.49,13.10,13.10,13.10,13.10
06-14-2016,13.49,13.10,13.10,13.10,13.10
06-15-2016,13.49,13.10,13.10,13.10,13.10
06-16-2016,13.49,13.10,13.10,13.10,13.10
06-17-2016,13.49,13.10,13.10,13.10,13.10
06-19-2016,13.49,13.10,13.10,13.10,13.10
06-21-2016,13.49,13.10,13.10,13.10,13.10
06-22-2016,13.49,13.10,13.10,13.10,13.10
06-23-2016,13.49,13.10,13.10,13.10,13.10
06-24-2016,13.49,13.10,13.10,13.10,13.10
06-27-2016,13.49,13.10,13.10,13.10,13.10
06-28-2016,13.49,13.10,13.10,13.10,13.10
06-29-2016,13.49,13.10,13.10,13.10,13.10
06-30-2016,13.49,13.10,13.10,13.10,13.10
07-01-2016,13.49,13.10,13.10,13.10,13.10
07-05-2016,13.49,13.10,13.10,13.10,13.10
07-05-2016,13.10,13.70,13.70,13.70,13.70
07-07-2016,13.70,13.05,13.05,13.05,13.05
07-08-2016,13.70,13.05,13.05,13.05,13.05
07-11-2016,13.05,12.45,12.45,12.45,12.45
07-12-2016,12.45,11.85,11.85,11.85,11.85
