Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,27.00,27.60,28.10,25.65,27.60
05-19-2016,27.60,28.90,28.90,27.75,27.75
05-19-2016,27.75,27.90,28.50,26.40,26.60
05-20-2016,26.60,26.50,27.85,25.30,25.65
05-23-2016,25.65,26.00,26.80,25.10,26.65
05-24-2016,26.65,26.95,27.00,26.85,26.95
05-25-2016,26.95,27.80,28.00,26.75,26.95
05-26-2016,26.95,27.05,28.00,26.85,27.90
05-27-2016,27.90,28.10,28.50,27.00,27.00
05-30-2016,27.00,27.50,27.70,26.85,26.95
05-31-2016,26.95,27.50,28.00,27.00,27.70
06-01-2016,27.70,28.10,28.20,27.50,27.90
06-02-2016,27.90,28.30,28.50,27.90,27.90
06-04-2016,27.90,28.00,28.10,25.15,27.65
06-06-2016,27.65,27.80,28.10,27.00,27.00
06-07-2016,27.10,27.25,27.35,27.00,27.00
06-08-2016,27.00,27.30,29.70,27.00,27.10
06-09-2016,27.10,27.25,27.35,27.00,27.00
06-10-2016,27.00,27.00,29.70,27.00,27.25
06-13-2016,27.25,27.30,27.65,27.30,27.40
06-14-2016,27.40,28.00,30.10,24.70,27.40
06-15-2016,27.40,28.10,29.15,28.10,28.40
06-16-2016,28.40,28.00,29.40,27.95,29.40
06-17-2016,29.40,29.70,32.30,28.95,30.40
06-19-2016,30.40,30.40,31.50,30.00,30.50
06-21-2016,30.50,31.00,33.55,30.25,31.25
06-22-2016,31.25,34.00,34.35,33.90,34.35
06-23-2016,34.35,37.75,37.75,34.20,37.70
06-24-2016,37.70,37.70,37.70,37.70,37.70
06-27-2016,37.70,37.70,37.70,37.70,37.70
06-28-2016,37.70,37.70,37.70,37.70,37.70
06-29-2016,37.70,37.70,37.70,37.70,37.70
06-30-2016,37.70,36.00,37.70,36.00,37.70
07-01-2016,37.70,37.00,39.55,37.00,37.00
07-05-2016,37.70,37.00,39.55,37.00,37.00
07-05-2016,37.00,38.00,38.85,38.00,38.85
07-07-2016,37.00,38.00,38.85,38.00,38.85
07-08-2016,37.00,38.00,38.85,38.00,38.85
07-11-2016,37.00,38.00,38.85,38.00,38.85
07-12-2016,37.00,38.00,38.85,38.00,38.85
