Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.80,9.80,10.00,9.77,9.77
05-19-2016,9.77,9.50,9.50,9.50,9.50
05-20-2016,9.50,9.06,9.97,9.06,9.97
05-21-2016,9.97,9.60,10.40,9.48,10.40
05-23-2016,10.40,10.50,10.92,10.50,10.92
05-24-2016,10.92,10.38,11.00,10.38,11.00
05-25-2016,11.00,11.00,11.55,11.00,11.55
05-26-2016,11.00,11.00,11.55,11.00,11.55
05-27-2016,11.55,12.12,12.12,10.98,11.00
05-30-2016,11.00,10.50,11.50,10.45,10.45
05-31-2016,10.45,9.96,10.97,9.96,9.96
06-01-2016,9.96,9.97,9.97,9.97,9.97
06-02-2016,9.97,9.97,9.97,9.97,9.97
06-04-2016,9.97,9.97,9.97,9.97,9.97
06-06-2016,9.97,9.49,9.49,9.49,9.49
06-07-2016,9.49,9.25,9.27,9.25,9.27
06-08-2016,9.27,9.25,9.73,9.02,9.73
06-09-2016,9.73,10.21,10.21,9.99,9.99
06-10-2016,9.73,10.21,10.21,9.99,9.99
06-13-2016,9.99,10.00,10.48,10.00,10.48
06-14-2016,10.48,10.48,10.48,10.00,10.00
06-15-2016,10.00,10.05,10.05,9.89,10.05
06-16-2016,10.05,10.55,10.55,9.56,10.55
06-17-2016,10.55,11.07,11.07,10.03,10.03
06-19-2016,10.03,10.00,10.00,10.00,10.00
06-21-2016,10.00,9.51,10.50,9.51,10.50
06-22-2016,10.00,9.51,10.50,9.51,10.50
06-23-2016,10.50,11.02,11.02,9.98,9.98
06-24-2016,9.98,9.49,10.46,9.49,9.85
06-27-2016,9.85,10.34,10.34,9.60,10.34
06-28-2016,10.34,10.85,10.85,10.80,10.80
06-29-2016,10.80,10.26,11.25,10.26,11.25
06-30-2016,11.25,10.69,10.69,10.69,10.69
07-01-2016,10.69,10.30,10.30,10.30,10.30
07-05-2016,10.30,9.85,10.81,9.85,10.81
07-05-2016,10.81,11.35,11.35,11.00,11.03
07-08-2016,11.03,11.01,11.58,10.81,11.25
07-08-2016,11.25,10.81,11.81,10.81,11.81
07-11-2016,11.81,11.80,12.35,11.60,11.60
07-12-2016,11.60,11.99,11.99,11.02,11.02
