Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.15,2.15,2.15,2.15,2.15
05-19-2016,2.15,2.15,2.15,2.15,2.15
05-20-2016,2.15,2.15,2.15,2.15,2.15
05-20-2016,2.15,2.15,2.15,2.15,2.15
05-23-2016,2.15,2.05,2.05,2.05,2.05
05-24-2016,2.15,2.05,2.05,2.05,2.05
05-25-2016,2.15,2.05,2.05,2.05,2.05
05-26-2016,2.15,2.05,2.05,2.05,2.05
05-27-2016,2.05,1.95,1.95,1.95,1.95
05-30-2016,1.95,1.86,1.86,1.86,1.86
05-31-2016,1.86,1.90,1.90,1.78,1.78
06-01-2016,1.78,1.70,1.70,1.70,1.70
06-02-2016,1.70,1.70,1.70,1.70,1.70
06-04-2016,1.70,1.71,1.71,1.71,1.71
06-06-2016,1.71,1.79,1.79,1.79,1.79
06-07-2016,1.71,1.79,1.79,1.79,1.79
06-08-2016,1.71,1.79,1.79,1.79,1.79
06-09-2016,1.71,1.79,1.79,1.79,1.79
06-10-2016,1.71,1.79,1.79,1.79,1.79
06-13-2016,1.71,1.79,1.79,1.79,1.79
06-14-2016,1.79,1.87,1.87,1.87,1.87
06-15-2016,1.87,1.78,1.78,1.78,1.78
06-16-2016,1.78,1.70,1.70,1.70,1.70
06-17-2016,1.78,1.70,1.70,1.70,1.70
06-19-2016,1.70,1.71,1.71,1.71,1.71
06-21-2016,1.70,1.71,1.71,1.71,1.71
06-22-2016,1.70,1.71,1.71,1.71,1.71
06-23-2016,1.70,1.71,1.71,1.71,1.71
06-24-2016,1.70,1.71,1.71,1.71,1.71
06-27-2016,1.70,1.71,1.71,1.71,1.71
06-28-2016,1.70,1.71,1.71,1.71,1.71
06-29-2016,1.71,1.63,1.63,1.63,1.63
06-30-2016,1.63,1.63,1.63,1.63,1.63
07-01-2016,1.63,1.63,1.63,1.63,1.63
07-05-2016,1.63,1.63,1.63,1.63,1.63
07-05-2016,1.63,1.63,1.63,1.63,1.63
07-08-2016,1.63,1.63,1.63,1.63,1.63
07-08-2016,1.63,1.63,1.63,1.63,1.63
07-11-2016,1.63,1.63,1.63,1.63,1.63
07-12-2016,1.63,1.63,1.63,1.63,1.63
