Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,4.42,4.42,4.42,4.42,4.42
05-19-2016,4.42,4.42,4.42,4.42,4.42
05-20-2016,4.42,4.42,4.42,4.42,4.42
05-21-2016,4.42,4.42,4.42,4.42,4.42
05-23-2016,4.42,4.42,4.42,4.42,4.42
05-24-2016,4.42,4.42,4.42,4.42,4.42
05-25-2016,4.42,4.42,4.42,4.42,4.42
05-26-2016,4.42,4.42,4.42,4.42,4.42
05-27-2016,4.42,4.42,4.42,4.42,4.42
05-30-2016,4.42,4.21,4.64,4.21,4.64
05-31-2016,4.64,4.41,4.41,4.41,4.41
06-01-2016,4.64,4.41,4.41,4.41,4.41
06-02-2016,4.64,4.41,4.41,4.41,4.41
06-04-2016,4.64,4.41,4.41,4.41,4.41
06-06-2016,4.64,4.41,4.41,4.41,4.41
06-07-2016,4.41,4.41,4.41,4.41,4.41
06-08-2016,4.41,4.19,4.19,4.19,4.19
06-09-2016,4.19,3.99,3.99,3.99,3.99
06-10-2016,4.19,3.99,3.99,3.99,3.99
06-13-2016,4.19,3.99,3.99,3.99,3.99
06-14-2016,4.19,3.99,3.99,3.99,3.99
06-15-2016,4.19,3.99,3.99,3.99,3.99
06-16-2016,4.19,3.99,3.99,3.99,3.99
06-18-2016,4.19,3.99,3.99,3.99,3.99
06-19-2016,4.19,3.99,3.99,3.99,3.99
06-21-2016,4.19,3.99,3.99,3.99,3.99
06-22-2016,4.19,3.99,3.99,3.99,3.99
06-23-2016,4.19,3.99,3.99,3.99,3.99
06-24-2016,4.19,3.99,3.99,3.99,3.99
06-27-2016,4.19,3.99,3.99,3.99,3.99
06-28-2016,4.19,3.99,3.99,3.99,3.99
06-29-2016,4.19,3.99,3.99,3.99,3.99
06-30-2016,4.19,3.99,3.99,3.99,3.99
07-01-2016,4.19,3.99,3.99,3.99,3.99
07-05-2016,4.19,3.99,3.99,3.99,3.99
07-05-2016,4.19,3.99,3.99,3.99,3.99
07-08-2016,4.19,3.99,3.99,3.99,3.99
07-08-2016,3.99,4.18,4.18,4.18,4.18
07-11-2016,3.99,4.18,4.18,4.18,4.18
07-12-2016,3.99,4.18,4.18,4.18,4.18
