Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,93.40,93.15,94.35,93.00,93.45
05-19-2016,93.45,93.90,93.90,93.00,93.10
05-20-2016,93.10,93.00,94.35,92.85,93.30
05-20-2016,93.30,92.80,94.00,92.30,92.30
05-23-2016,92.30,92.10,94.50,92.05,93.10
05-24-2016,93.10,93.35,95.05,93.15,93.95
05-25-2016,93.95,93.50,93.65,93.00,93.10
05-26-2016,93.10,93.05,93.05,92.10,92.20
05-27-2016,92.20,92.20,92.90,92.00,92.20
05-30-2016,92.20,92.05,93.00,92.05,92.70
05-31-2016,92.70,92.65,95.80,92.60,95.20
06-01-2016,95.20,96.00,97.00,96.00,96.85
06-02-2016,96.85,96.45,97.00,95.15,95.95
06-04-2016,95.95,96.00,97.45,96.00,96.40
06-06-2016,96.40,96.40,97.00,96.30,96.40
06-07-2016,96.65,96.70,97.00,96.15,96.70
06-08-2016,96.70,96.90,97.00,96.15,96.15
06-09-2016,96.15,96.90,97.00,94.40,97.00
06-10-2016,97.00,96.50,97.50,96.50,97.25
06-13-2016,97.25,95.20,96.50,95.20,96.00
06-14-2016,96.00,95.55,97.25,95.55,97.20
06-15-2016,97.20,97.25,98.40,97.00,98.20
06-16-2016,98.20,98.00,101.70,97.35,101.00
06-17-2016,101.00,100.00,101.70,97.40,97.90
06-19-2016,97.90,99.85,100.00,98.00,98.75
06-21-2016,98.75,98.65,99.50,97.10,98.35
06-22-2016,98.35,98.00,101.00,98.00,98.60
06-23-2016,98.60,90.05,98.45,88.00,98.00
06-24-2016,98.00,95.00,95.00,83.10,90.55
06-27-2016,90.55,86.75,91.00,86.75,89.70
06-28-2016,89.70,89.90,92.75,88.40,89.90
06-29-2016,89.90,90.20,91.20,89.55,90.95
06-30-2016,90.95,91.25,96.00,90.95,93.10
07-01-2016,93.10,95.50,99.00,94.10,96.25
07-05-2016,96.25,96.95,98.00,95.15,95.75
07-05-2016,95.75,95.25,96.90,93.00,94.10
07-08-2016,94.10,94.10,98.00,93.10,95.65
07-08-2016,95.65,95.00,97.00,90.90,94.10
07-11-2016,94.10,94.55,95.50,93.05,93.60
07-12-2016,93.60,93.80,94.00,93.00,93.15
