Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,58.85,59.10,59.75,57.60,58.05
05-19-2016,58.05,57.30,58.00,57.25,57.45
05-20-2016,57.45,57.20,61.30,56.75,58.20
05-21-2016,58.20,59.00,61.50,58.00,58.25
05-23-2016,58.25,59.25,59.40,57.25,57.50
05-24-2016,57.50,57.40,57.55,54.70,55.05
05-25-2016,55.05,55.70,56.80,54.85,56.10
05-26-2016,56.10,56.50,57.45,56.25,56.95
05-27-2016,56.95,57.70,57.85,56.25,56.75
05-30-2016,56.75,56.90,58.25,56.55,57.30
05-31-2016,57.30,57.45,59.30,57.45,58.55
06-01-2016,58.55,59.30,60.00,58.60,58.75
06-02-2016,58.75,58.40,61.30,58.00,60.95
06-04-2016,60.95,61.05,67.10,61.05,64.05
06-06-2016,64.05,64.00,66.50,62.70,65.65
06-07-2016,65.65,66.25,67.15,65.30,65.65
06-08-2016,65.65,66.25,71.45,66.15,69.15
06-09-2016,69.15,69.80,71.80,69.45,70.65
06-10-2016,70.65,71.45,77.80,71.45,76.30
06-13-2016,76.30,76.00,79.75,76.00,79.10
06-14-2016,79.10,79.80,80.85,71.45,72.60
06-15-2016,72.60,74.30,75.35,71.20,72.00
06-16-2016,72.00,72.00,72.10,68.25,69.90
06-18-2016,69.90,70.40,71.90,69.25,69.90
06-19-2016,69.90,69.20,72.10,68.40,70.70
06-21-2016,70.70,72.00,75.80,72.00,75.15
06-22-2016,75.15,75.85,76.10,72.55,73.20
06-23-2016,73.20,73.85,74.20,72.10,72.75
06-24-2016,72.75,69.90,76.10,64.70,75.25
06-27-2016,75.25,76.25,80.70,75.75,79.25
06-28-2016,79.25,80.40,81.70,79.10,80.25
06-29-2016,80.25,81.80,82.25,80.45,80.90
06-30-2016,80.90,81.70,82.00,80.20,80.80
07-01-2016,80.80,81.25,81.45,79.00,79.40
07-05-2016,79.40,81.60,81.60,78.45,80.40
07-05-2016,80.40,80.50,81.60,79.00,80.75
07-08-2016,80.75,81.05,82.90,80.70,81.85
07-08-2016,81.85,83.30,88.00,82.25,87.45
07-11-2016,87.45,89.00,89.70,85.15,85.90
07-12-2016,85.90,86.60,86.60,83.40,84.25
