Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.50,1.43,1.43,1.43,1.43
05-19-2016,1.43,1.36,1.36,1.36,1.36
05-20-2016,1.36,1.31,1.31,1.31,1.31
05-20-2016,1.31,1.26,1.26,1.26,1.26
05-23-2016,1.26,1.22,1.22,1.22,1.22
05-24-2016,1.22,1.28,1.28,1.28,1.28
05-25-2016,1.28,1.22,1.22,1.22,1.22
05-26-2016,1.28,1.22,1.22,1.22,1.22
05-27-2016,1.22,1.22,1.22,1.22,1.22
05-30-2016,1.22,1.22,1.22,1.22,1.22
05-31-2016,1.22,1.22,1.22,1.22,1.22
06-01-2016,1.22,1.22,1.22,1.22,1.22
06-02-2016,1.22,1.22,1.22,1.22,1.22
06-04-2016,1.22,1.22,1.22,1.22,1.22
06-06-2016,1.22,1.22,1.22,1.22,1.22
06-07-2016,1.22,1.22,1.22,1.22,1.22
06-08-2016,1.22,1.22,1.22,1.22,1.22
06-09-2016,1.22,1.17,1.18,1.17,1.18
06-10-2016,1.22,1.17,1.18,1.17,1.18
06-13-2016,1.22,1.17,1.18,1.17,1.18
06-14-2016,1.18,1.14,1.14,1.14,1.14
06-15-2016,1.14,1.11,1.11,1.11,1.11
06-16-2016,1.14,1.11,1.11,1.11,1.11
06-17-2016,1.14,1.11,1.11,1.11,1.11
06-19-2016,1.14,1.11,1.11,1.11,1.11
06-21-2016,1.14,1.11,1.11,1.11,1.11
06-22-2016,1.14,1.11,1.11,1.11,1.11
06-23-2016,1.11,1.16,1.16,1.16,1.16
06-24-2016,1.11,1.16,1.16,1.16,1.16
06-27-2016,1.11,1.16,1.16,1.16,1.16
06-28-2016,1.11,1.16,1.16,1.16,1.16
06-29-2016,1.11,1.16,1.16,1.16,1.16
06-30-2016,1.11,1.16,1.16,1.16,1.16
07-01-2016,1.11,1.16,1.16,1.16,1.16
07-05-2016,1.11,1.16,1.16,1.16,1.16
07-05-2016,1.11,1.16,1.16,1.16,1.16
07-08-2016,1.16,1.11,1.21,1.11,1.21
07-08-2016,1.21,1.27,1.27,1.27,1.27
07-11-2016,1.21,1.27,1.27,1.27,1.27
07-12-2016,1.27,1.27,1.27,1.27,1.27
