Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,36.00,34.20,37.80,34.20,37.80
05-19-2016,37.80,38.00,38.00,36.05,37.85
05-19-2016,37.85,36.50,37.95,36.05,36.05
05-20-2016,36.05,37.00,37.80,36.00,37.50
05-23-2016,36.05,37.00,37.80,36.00,37.50
05-24-2016,36.05,37.00,37.80,36.00,37.50
05-25-2016,37.50,38.50,38.50,38.50,38.50
05-26-2016,37.50,38.50,38.50,38.50,38.50
05-27-2016,38.50,40.40,40.40,40.40,40.40
05-30-2016,40.40,41.95,41.95,41.95,41.95
05-31-2016,41.95,43.85,43.85,43.85,43.85
06-01-2016,43.85,44.00,44.00,44.00,44.00
06-02-2016,44.00,43.85,43.85,41.80,41.80
06-04-2016,41.80,43.85,43.85,43.80,43.80
06-06-2016,41.80,43.85,43.85,43.80,43.80
06-07-2016,43.80,44.85,44.90,44.85,44.90
06-08-2016,44.90,45.50,45.50,45.50,45.50
06-09-2016,44.90,45.50,45.50,45.50,45.50
06-10-2016,44.90,45.50,45.50,45.50,45.50
06-13-2016,44.90,45.50,45.50,45.50,45.50
06-14-2016,44.90,45.50,45.50,45.50,45.50
06-15-2016,45.50,45.40,45.40,45.40,45.40
06-16-2016,45.50,45.40,45.40,45.40,45.40
06-17-2016,45.50,45.40,45.40,45.40,45.40
06-19-2016,45.50,45.40,45.40,45.40,45.40
06-21-2016,45.40,43.45,43.45,43.45,43.45
06-22-2016,45.40,43.45,43.45,43.45,43.45
06-23-2016,43.45,43.40,43.40,43.40,43.40
06-24-2016,43.45,43.40,43.40,43.40,43.40
06-27-2016,43.45,43.40,43.40,43.40,43.40
06-28-2016,43.45,43.40,43.40,43.40,43.40
06-29-2016,43.45,43.40,43.40,43.40,43.40
06-30-2016,43.45,43.40,43.40,43.40,43.40
07-01-2016,43.40,45.40,45.40,45.40,45.40
07-05-2016,43.40,45.40,45.40,45.40,45.40
07-05-2016,43.40,45.40,45.40,45.40,45.40
07-07-2016,45.40,44.00,44.00,44.00,44.00
07-08-2016,45.40,44.00,44.00,44.00,44.00
07-11-2016,45.40,44.00,44.00,44.00,44.00
07-12-2016,45.40,44.00,44.00,44.00,44.00
