Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,2.71,2.58,2.58,2.58,2.58
05-19-2016,2.71,2.58,2.58,2.58,2.58
05-20-2016,2.71,2.58,2.58,2.58,2.58
05-21-2016,2.71,2.58,2.58,2.58,2.58
05-23-2016,2.71,2.58,2.58,2.58,2.58
05-24-2016,2.71,2.58,2.58,2.58,2.58
05-25-2016,2.71,2.58,2.58,2.58,2.58
05-26-2016,2.71,2.58,2.58,2.58,2.58
05-27-2016,2.71,2.58,2.58,2.58,2.58
05-30-2016,2.71,2.58,2.58,2.58,2.58
05-31-2016,2.71,2.58,2.58,2.58,2.58
06-01-2016,2.71,2.58,2.58,2.58,2.58
06-02-2016,2.58,2.46,2.46,2.46,2.46
06-04-2016,2.58,2.46,2.46,2.46,2.46
06-06-2016,2.58,2.46,2.46,2.46,2.46
06-07-2016,2.46,2.34,2.34,2.34,2.34
06-08-2016,2.46,2.34,2.34,2.34,2.34
06-09-2016,2.34,2.23,2.23,2.23,2.23
06-10-2016,2.34,2.23,2.23,2.23,2.23
06-13-2016,2.34,2.23,2.23,2.23,2.23
06-14-2016,2.34,2.23,2.23,2.23,2.23
06-15-2016,2.34,2.23,2.23,2.23,2.23
06-16-2016,2.23,2.12,2.12,2.12,2.12
06-17-2016,2.12,2.02,2.02,2.02,2.02
06-19-2016,2.02,2.12,2.12,1.92,1.92
06-21-2016,2.02,2.12,2.12,1.92,1.92
06-22-2016,2.02,2.12,2.12,1.92,1.92
06-23-2016,2.02,2.12,2.12,1.92,1.92
06-24-2016,2.02,2.12,2.12,1.92,1.92
06-27-2016,2.02,2.12,2.12,1.92,1.92
06-28-2016,1.92,1.83,1.83,1.83,1.83
06-29-2016,1.83,1.81,1.81,1.81,1.81
06-30-2016,1.81,1.81,1.81,1.81,1.81
07-01-2016,1.81,1.72,1.72,1.72,1.72
07-05-2016,1.72,1.64,1.64,1.64,1.64
07-05-2016,1.72,1.64,1.64,1.64,1.64
07-08-2016,1.72,1.64,1.64,1.64,1.64
07-08-2016,1.64,1.56,1.56,1.56,1.56
07-11-2016,1.64,1.56,1.56,1.56,1.56
07-12-2016,1.64,1.56,1.56,1.56,1.56
