Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.65,7.74,7.74,7.63,7.63
05-19-2016,7.65,7.74,7.74,7.63,7.63
05-20-2016,7.65,7.74,7.74,7.63,7.63
05-20-2016,7.65,7.74,7.74,7.63,7.63
05-23-2016,7.65,7.74,7.74,7.63,7.63
05-24-2016,7.65,7.74,7.74,7.63,7.63
05-25-2016,7.65,7.74,7.74,7.63,7.63
05-26-2016,7.65,7.74,7.74,7.63,7.63
05-27-2016,7.65,7.74,7.74,7.63,7.63
05-30-2016,7.65,7.74,7.74,7.63,7.63
05-31-2016,7.65,7.74,7.74,7.63,7.63
06-01-2016,7.65,7.74,7.74,7.63,7.63
06-02-2016,7.63,6.87,7.50,6.87,7.50
06-04-2016,7.50,6.00,7.50,6.00,7.50
06-06-2016,7.50,6.00,6.00,6.00,6.00
06-07-2016,6.00,4.80,4.80,4.80,4.80
06-08-2016,4.80,5.25,5.28,5.25,5.28
06-09-2016,5.28,5.80,5.80,5.80,5.80
06-10-2016,5.80,6.36,6.36,6.33,6.33
06-13-2016,6.33,6.62,6.62,6.05,6.62
06-14-2016,6.62,6.79,6.85,6.79,6.84
06-15-2016,6.84,7.18,7.18,6.51,7.13
06-16-2016,7.13,7.46,7.46,6.80,7.35
06-17-2016,7.35,7.59,7.59,7.59,7.59
06-19-2016,7.35,7.59,7.59,7.59,7.59
06-21-2016,7.59,7.94,7.94,7.94,7.94
06-22-2016,7.59,7.94,7.94,7.94,7.94
06-23-2016,7.94,8.33,8.33,8.33,8.33
06-24-2016,8.33,8.74,8.74,8.74,8.74
06-27-2016,8.74,9.17,9.17,8.31,8.31
06-28-2016,8.31,8.29,8.29,8.29,8.29
06-29-2016,8.31,8.29,8.29,8.29,8.29
06-30-2016,8.29,8.00,8.00,7.88,7.88
07-01-2016,7.88,7.51,7.88,7.51,7.88
07-05-2016,7.88,7.88,7.88,7.49,7.49
07-05-2016,7.49,7.49,7.49,7.49,7.49
07-08-2016,7.49,7.49,7.49,7.12,7.12
07-08-2016,7.12,7.12,7.12,6.77,6.77
07-11-2016,6.77,6.77,6.77,6.45,6.45
07-12-2016,6.45,6.75,6.75,6.13,6.13
