Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,26.30,26.45,26.45,25.30,25.60
05-19-2016,25.60,25.50,25.65,24.75,25.30
05-19-2016,25.30,25.35,25.35,23.90,24.10
05-20-2016,24.10,24.05,24.60,23.35,23.50
05-23-2016,23.50,23.75,24.20,23.20,23.35
05-24-2016,23.35,23.40,23.75,22.70,22.80
05-25-2016,22.80,23.10,23.25,22.75,22.90
05-26-2016,22.90,23.05,23.60,23.05,23.40
05-27-2016,23.40,23.50,23.50,22.60,22.65
05-30-2016,22.65,22.75,23.25,22.75,23.20
05-31-2016,23.20,22.55,22.60,22.00,22.20
06-01-2016,22.20,22.30,22.65,21.80,22.00
06-02-2016,22.00,21.65,22.20,21.60,21.70
06-04-2016,21.70,22.00,22.65,21.80,21.85
06-06-2016,21.85,22.80,22.85,22.00,22.40
06-07-2016,22.40,22.45,22.50,21.90,22.00
06-08-2016,22.00,22.00,23.20,22.00,22.65
06-09-2016,22.65,22.75,23.05,22.45,22.65
06-10-2016,22.65,22.75,23.15,22.20,22.25
06-13-2016,22.25,22.05,22.40,21.85,22.05
06-14-2016,22.05,22.45,22.50,22.05,22.20
06-15-2016,22.20,22.40,23.20,22.25,22.45
06-16-2016,22.45,22.35,22.40,21.80,21.85
06-17-2016,21.85,22.20,22.20,21.70,21.80
06-19-2016,21.80,21.80,23.05,21.00,22.70
06-21-2016,22.70,22.75,22.80,22.15,22.15
06-22-2016,22.15,22.30,22.70,21.80,21.90
06-23-2016,21.90,22.50,22.50,21.60,21.70
06-24-2016,21.70,20.80,21.40,20.40,20.80
06-27-2016,20.80,20.90,21.50,20.90,21.15
06-28-2016,21.15,21.25,22.25,21.25,22.00
06-29-2016,22.00,22.05,23.50,21.90,22.90
06-30-2016,22.90,23.10,24.25,23.00,23.50
07-01-2016,23.50,23.75,23.90,22.85,23.00
07-05-2016,23.00,23.00,23.20,22.70,22.75
07-05-2016,22.75,22.55,22.55,21.90,22.25
07-07-2016,22.25,22.55,23.20,22.35,22.60
07-08-2016,22.60,21.80,22.60,21.80,22.35
07-11-2016,22.35,22.90,22.90,22.25,22.40
07-12-2016,22.40,22.55,22.65,22.15,22.35
