Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,64.95,64.30,64.30,64.00,64.00
05-19-2016,64.00,64.50,64.50,63.30,63.50
05-19-2016,63.50,66.70,66.70,62.80,62.80
05-20-2016,62.80,65.00,65.40,63.00,64.30
05-23-2016,64.30,64.60,64.60,62.10,62.10
05-24-2016,62.10,65.00,65.00,62.30,63.60
05-25-2016,63.60,64.00,64.00,63.00,63.00
05-26-2016,63.00,64.50,64.50,64.35,64.35
05-27-2016,64.35,65.00,65.00,62.15,62.15
05-30-2016,62.15,60.30,64.00,60.30,62.10
05-31-2016,62.10,61.45,62.00,61.10,61.30
06-01-2016,61.30,63.30,63.50,63.30,63.50
06-02-2016,63.50,63.35,63.35,63.35,63.35
06-04-2016,63.35,62.55,63.55,61.15,61.30
06-06-2016,63.35,62.55,63.55,61.15,61.30
06-07-2016,61.30,61.80,61.80,60.00,61.00
06-08-2016,61.00,63.00,63.00,60.00,60.80
06-09-2016,60.80,62.00,63.80,60.50,61.25
06-10-2016,61.25,62.00,62.80,61.00,61.05
06-13-2016,61.05,62.50,65.50,62.50,62.50
06-14-2016,62.50,64.80,64.80,60.65,63.75
06-15-2016,63.75,62.95,72.75,62.10,63.00
06-16-2016,63.00,62.95,64.75,61.65,64.35
06-17-2016,64.35,64.75,64.75,61.00,62.35
06-19-2016,62.35,63.00,63.00,63.00,63.00
06-21-2016,63.00,62.95,64.00,62.95,64.00
06-22-2016,63.00,62.95,64.00,62.95,64.00
06-23-2016,63.00,62.95,64.00,62.95,64.00
06-24-2016,64.00,59.50,61.40,57.00,59.40
06-27-2016,59.40,60.25,61.00,60.05,60.65
06-28-2016,60.65,68.00,68.00,60.25,62.10
06-29-2016,62.10,63.20,74.50,63.20,74.50
06-30-2016,74.50,78.25,87.70,76.50,78.00
07-01-2016,78.00,77.45,82.90,76.35,81.40
07-05-2016,81.40,83.00,84.00,81.00,81.55
07-05-2016,81.55,80.35,80.70,77.25,79.75
07-07-2016,79.75,85.00,89.80,81.45,87.70
07-08-2016,87.70,88.40,91.35,86.00,86.30
07-11-2016,86.30,87.00,94.40,85.45,92.00
07-12-2016,92.00,94.80,108.55,94.80,103.60
