Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,22.45,23.55,23.55,23.55,23.55
05-19-2016,22.45,23.55,23.55,23.55,23.55
05-20-2016,23.55,24.70,24.70,24.70,24.70
05-21-2016,24.70,25.90,25.90,25.90,25.90
05-23-2016,25.90,26.80,26.80,26.80,26.80
05-24-2016,26.80,26.80,26.80,26.80,26.80
05-25-2016,26.80,26.80,26.80,26.80,26.80
05-26-2016,26.80,26.80,26.80,26.80,26.80
05-27-2016,26.80,26.80,26.80,26.80,26.80
05-30-2016,26.80,26.80,26.80,26.80,26.80
05-31-2016,26.80,26.80,26.80,26.80,26.80
06-01-2016,26.80,28.10,28.10,28.10,28.10
06-02-2016,28.10,29.50,29.50,29.50,29.50
06-04-2016,29.50,30.95,30.95,30.95,30.95
06-06-2016,30.95,32.45,32.45,32.45,32.45
06-07-2016,32.45,34.05,34.05,34.05,34.05
06-08-2016,34.05,34.05,34.05,34.05,34.05
06-09-2016,34.05,34.05,34.05,34.05,34.05
06-10-2016,34.05,34.05,34.05,32.35,34.05
06-13-2016,34.05,34.05,34.05,32.35,34.05
06-14-2016,34.05,34.05,34.05,32.35,34.05
06-15-2016,34.05,34.05,34.05,34.05,34.05
06-16-2016,34.05,34.05,34.05,34.05,34.05
06-17-2016,34.05,34.00,34.00,34.00,34.00
06-19-2016,34.05,34.00,34.00,34.00,34.00
06-21-2016,34.05,34.00,34.00,34.00,34.00
06-22-2016,34.05,34.00,34.00,34.00,34.00
06-23-2016,34.05,34.00,34.00,34.00,34.00
06-24-2016,34.00,34.05,34.05,34.05,34.05
06-27-2016,34.05,34.05,34.05,34.05,34.05
06-28-2016,34.05,34.05,34.05,34.05,34.05
06-29-2016,34.05,34.05,34.05,34.05,34.05
06-30-2016,34.05,34.05,34.05,34.05,34.05
07-01-2016,34.05,34.05,34.05,34.05,34.05
07-05-2016,34.05,35.75,35.75,35.75,35.75
07-05-2016,34.05,35.75,35.75,35.75,35.75
07-08-2016,35.75,37.50,37.50,37.50,37.50
07-08-2016,37.50,39.35,39.35,39.30,39.30
07-11-2016,39.30,39.30,41.25,39.05,40.80
07-12-2016,40.80,42.80,42.80,39.20,39.30
