Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,26.10,26.50,26.50,26.40,26.40
05-19-2016,26.10,26.50,26.50,26.40,26.40
05-20-2016,26.10,26.50,26.50,26.40,26.40
05-21-2016,26.10,26.50,26.50,26.40,26.40
05-23-2016,26.10,26.50,26.50,26.40,26.40
05-24-2016,26.40,28.00,28.00,28.00,28.00
05-25-2016,26.40,28.00,28.00,28.00,28.00
05-26-2016,26.40,28.00,28.00,28.00,28.00
05-27-2016,26.40,28.00,28.00,28.00,28.00
05-30-2016,26.40,28.00,28.00,28.00,28.00
05-31-2016,26.40,28.00,28.00,28.00,28.00
06-01-2016,28.00,28.50,28.50,28.50,28.50
06-02-2016,28.50,28.00,28.00,28.00,28.00
06-04-2016,28.50,28.00,28.00,28.00,28.00
06-06-2016,28.50,28.00,28.00,28.00,28.00
06-07-2016,28.50,28.00,28.00,28.00,28.00
06-08-2016,28.50,28.00,28.00,28.00,28.00
06-09-2016,28.50,28.00,28.00,28.00,28.00
06-10-2016,28.50,28.00,28.00,28.00,28.00
06-13-2016,28.00,28.80,28.80,28.80,28.80
06-14-2016,28.00,28.80,28.80,28.80,28.80
06-15-2016,28.00,28.80,28.80,28.80,28.80
06-16-2016,28.80,28.50,28.60,28.30,28.45
06-17-2016,28.45,29.90,29.90,29.90,29.90
06-19-2016,29.90,30.50,30.80,30.00,30.50
06-21-2016,30.50,30.40,30.40,24.40,30.20
06-22-2016,30.20,30.50,30.50,28.90,29.35
06-23-2016,29.35,29.80,29.80,28.90,29.00
06-24-2016,29.00,29.80,29.80,28.60,28.85
06-27-2016,28.85,29.10,29.60,28.80,29.60
06-28-2016,29.60,29.25,29.80,29.25,29.75
06-29-2016,29.60,29.25,29.80,29.25,29.75
06-30-2016,29.75,29.00,30.90,29.00,30.20
07-01-2016,30.20,28.80,31.50,28.50,29.60
07-05-2016,29.60,27.50,27.50,27.50,27.50
07-05-2016,27.50,30.70,30.70,30.70,30.70
07-08-2016,27.50,30.70,30.70,30.70,30.70
07-08-2016,30.70,34.00,34.00,34.00,34.00
07-11-2016,30.70,34.00,34.00,34.00,34.00
07-12-2016,34.00,38.00,38.00,32.00,35.00
