Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,17.75,18.00,18.50,17.60,17.80
05-19-2016,17.80,18.00,18.00,17.15,17.65
05-19-2016,17.65,17.80,18.45,17.50,17.70
05-20-2016,17.70,18.00,18.00,17.40,17.55
05-23-2016,17.55,17.80,18.00,17.55,17.65
05-24-2016,17.65,17.30,17.80,17.30,17.50
05-25-2016,17.50,17.80,17.80,17.30,17.55
05-26-2016,17.55,17.60,17.70,17.40,17.50
05-27-2016,17.50,17.80,19.10,17.40,18.75
05-30-2016,18.75,18.25,19.60,18.25,19.05
05-31-2016,19.05,19.00,19.45,18.75,18.85
06-01-2016,18.85,18.85,19.35,18.15,18.40
06-02-2016,18.40,18.70,18.85,17.95,18.05
06-04-2016,18.05,18.30,18.45,17.75,18.05
06-06-2016,18.05,18.10,18.35,17.65,17.75
06-07-2016,17.75,17.55,18.15,17.50,17.90
06-08-2016,17.90,18.00,18.40,17.80,18.10
06-09-2016,18.10,18.05,18.40,18.00,18.20
06-10-2016,18.20,17.95,18.45,17.90,18.00
06-13-2016,18.00,18.00,18.10,17.75,18.05
06-14-2016,18.05,18.40,18.40,17.70,17.90
06-15-2016,17.90,18.15,18.60,18.10,18.15
06-16-2016,18.15,18.35,18.35,17.80,18.20
06-17-2016,18.20,18.35,20.35,18.10,19.80
06-19-2016,19.80,19.55,19.80,19.00,19.45
06-21-2016,19.45,19.20,20.10,19.00,19.65
06-22-2016,19.65,19.90,19.90,19.25,19.40
06-23-2016,19.40,19.10,19.60,19.00,19.20
06-24-2016,19.20,18.70,18.95,17.90,18.50
06-27-2016,18.50,18.50,19.00,18.10,18.85
06-28-2016,18.85,19.00,20.85,19.00,20.65
06-29-2016,20.65,20.90,21.80,20.70,20.95
06-30-2016,20.95,21.10,21.50,20.60,20.95
07-01-2016,20.95,21.00,21.60,21.00,21.25
07-05-2016,21.25,21.65,22.25,21.10,21.55
07-05-2016,21.55,21.75,21.85,21.00,21.20
07-07-2016,21.20,21.20,21.85,20.80,21.30
07-08-2016,21.30,21.30,21.30,20.50,20.75
07-11-2016,20.75,21.50,21.85,21.25,21.55
07-12-2016,21.55,21.55,21.55,19.35,19.75
