Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.10,9.10,9.35,9.01,9.32
05-19-2016,9.32,9.02,9.02,9.01,9.01
05-20-2016,9.01,9.05,9.25,9.05,9.25
05-21-2016,9.25,9.04,9.10,8.81,8.95
05-23-2016,8.95,8.85,9.38,8.85,9.30
05-24-2016,9.30,9.19,9.58,9.19,9.34
05-25-2016,9.34,9.75,9.75,9.00,9.44
05-26-2016,9.44,9.10,9.42,9.00,9.41
05-27-2016,9.41,9.05,9.92,8.75,9.13
05-30-2016,9.13,8.85,9.50,8.85,9.15
05-31-2016,9.15,8.84,9.50,8.80,9.16
06-01-2016,9.16,8.80,9.40,8.80,8.97
06-02-2016,8.97,8.81,8.81,8.75,8.81
06-04-2016,8.81,8.81,9.43,8.75,8.80
06-06-2016,8.80,8.72,8.90,8.50,8.50
06-07-2016,8.51,8.81,9.00,8.45,8.50
06-08-2016,8.50,8.99,8.99,8.50,8.65
06-09-2016,8.65,8.45,8.73,8.00,8.00
06-10-2016,8.00,8.10,8.30,7.75,8.28
06-13-2016,8.28,7.67,8.50,7.67,8.14
06-14-2016,8.14,7.80,8.37,7.80,8.00
06-15-2016,8.00,8.24,8.24,7.90,8.12
06-16-2016,8.12,8.20,8.20,7.90,8.07
06-17-2016,8.07,8.50,8.88,8.16,8.46
06-19-2016,8.46,8.30,8.99,8.00,8.10
06-21-2016,8.10,8.10,8.30,8.10,8.28
06-22-2016,8.28,8.05,8.49,7.91,8.37
06-23-2016,8.37,8.00,8.69,7.46,8.16
06-24-2016,8.16,8.00,8.19,7.91,7.92
06-27-2016,7.92,8.00,8.00,7.90,8.00
06-28-2016,8.00,7.93,8.00,7.40,7.96
06-29-2016,7.96,7.49,8.39,7.49,7.97
06-30-2016,7.97,8.00,8.90,7.96,8.55
07-01-2016,8.55,8.57,8.67,8.25,8.26
07-05-2016,8.26,8.10,8.10,7.78,8.01
07-05-2016,8.01,8.10,8.38,8.10,8.26
07-08-2016,8.26,8.10,8.30,8.10,8.29
07-08-2016,8.29,7.91,8.24,7.90,7.93
07-11-2016,7.93,8.69,8.69,8.00,8.27
07-12-2016,8.27,8.45,8.45,8.03,8.39
