Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,10.53,10.10,10.10,10.01,10.10
05-19-2016,10.10,10.20,10.25,10.20,10.25
05-20-2016,10.10,10.20,10.25,10.20,10.25
05-21-2016,10.10,10.20,10.25,10.20,10.25
05-23-2016,10.10,10.20,10.25,10.20,10.25
05-24-2016,10.10,10.20,10.25,10.20,10.25
05-25-2016,10.10,10.20,10.25,10.20,10.25
05-26-2016,10.25,9.74,10.76,9.74,10.76
05-27-2016,10.76,11.28,11.28,11.28,11.28
05-30-2016,11.28,11.50,11.83,11.50,11.83
05-31-2016,11.83,11.50,11.50,11.50,11.50
06-01-2016,11.50,11.38,11.38,10.93,10.93
06-02-2016,10.93,11.46,11.46,11.46,11.46
06-04-2016,11.46,10.89,10.90,10.89,10.90
06-06-2016,10.90,11.43,11.43,11.43,11.43
06-07-2016,11.43,10.86,10.86,10.86,10.86
06-08-2016,10.86,10.79,10.80,10.32,10.80
06-09-2016,10.80,11.30,11.30,11.30,11.30
06-10-2016,11.30,11.35,11.83,10.74,11.83
06-13-2016,11.83,11.24,12.41,11.24,12.40
06-14-2016,12.40,11.78,11.78,11.78,11.78
06-15-2016,11.78,11.40,11.40,11.20,11.20
06-16-2016,11.78,11.40,11.40,11.20,11.20
06-17-2016,11.78,11.40,11.40,11.20,11.20
06-19-2016,11.78,11.40,11.40,11.20,11.20
06-21-2016,11.78,11.40,11.40,11.20,11.20
06-22-2016,11.20,10.65,10.65,10.65,10.65
06-23-2016,10.65,10.12,11.16,10.12,11.16
06-24-2016,11.16,11.50,11.69,11.27,11.27
06-27-2016,11.27,11.30,11.83,11.30,11.83
06-28-2016,11.83,11.49,11.49,11.24,11.49
06-29-2016,11.49,11.39,11.39,10.92,10.92
06-30-2016,11.49,11.39,11.39,10.92,10.92
07-01-2016,10.92,11.00,11.00,10.42,11.00
07-05-2016,11.00,11.00,11.50,10.45,11.50
07-05-2016,11.50,10.94,10.94,10.94,10.94
07-08-2016,10.94,10.52,10.52,10.51,10.51
07-08-2016,10.94,10.52,10.52,10.51,10.51
07-11-2016,10.51,11.03,11.03,11.03,11.03
07-12-2016,11.03,11.00,11.00,11.00,11.00
