Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.80,19.00,19.65,18.30,18.80
05-19-2016,18.80,17.35,21.00,17.35,20.00
05-19-2016,20.00,20.00,20.60,18.55,20.45
05-20-2016,20.45,20.00,21.05,19.10,19.10
05-23-2016,19.10,19.90,20.75,18.65,19.10
05-24-2016,19.10,18.60,19.50,18.50,18.50
05-25-2016,18.50,21.50,21.50,17.80,17.80
05-26-2016,17.80,17.00,19.10,15.75,16.00
05-27-2016,16.00,17.00,17.00,13.25,13.90
05-30-2016,13.90,12.20,14.95,12.20,14.05
05-31-2016,14.05,15.00,15.00,13.95,13.95
06-01-2016,13.95,14.45,15.80,14.10,15.80
06-02-2016,15.80,16.00,18.03,15.95,17.66
06-04-2016,17.66,19.00,21.00,18.65,19.99
06-06-2016,19.99,19.10,19.10,18.00,18.55
06-07-2016,18.55,16.70,19.00,16.70,16.86
06-08-2016,16.86,18.50,18.50,17.00,17.72
06-09-2016,17.72,18.90,19.40,17.65,19.15
06-10-2016,19.15,19.90,19.90,18.00,18.25
06-13-2016,18.25,18.80,18.95,16.61,16.89
06-14-2016,16.89,16.95,18.40,16.50,16.50
06-15-2016,16.50,16.90,17.34,14.85,17.24
06-16-2016,17.24,16.10,18.94,15.60,18.32
06-17-2016,18.32,18.50,18.55,17.10,18.50
06-19-2016,18.50,19.00,20.00,17.00,17.74
06-21-2016,17.74,17.65,17.97,16.20,16.99
06-22-2016,16.99,17.80,17.80,17.20,17.20
06-23-2016,17.20,17.50,18.35,15.62,17.00
06-24-2016,17.00,18.00,18.05,15.51,16.42
06-27-2016,16.42,17.88,17.90,16.00,17.19
06-28-2016,17.19,17.05,17.10,15.66,16.33
06-29-2016,16.33,15.10,15.85,14.70,14.70
06-30-2016,14.70,13.23,13.23,13.23,13.23
07-01-2016,13.23,13.14,13.14,13.14,13.14
07-05-2016,13.14,12.49,12.49,12.49,12.49
07-05-2016,12.49,11.90,13.10,11.90,12.99
07-07-2016,12.99,13.57,13.57,13.00,13.03
07-08-2016,13.03,13.00,13.42,12.65,13.05
07-11-2016,13.05,13.00,13.25,12.40,12.40
07-12-2016,12.40,12.95,12.95,11.78,11.78
