Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,168.80,165.00,165.00,165.00,165.00
05-19-2016,168.80,165.00,165.00,165.00,165.00
05-20-2016,168.80,165.00,165.00,165.00,165.00
05-20-2016,168.80,165.00,165.00,165.00,165.00
05-23-2016,168.80,165.00,165.00,165.00,165.00
05-24-2016,165.00,173.00,173.00,173.00,173.00
05-25-2016,173.00,180.00,180.00,180.00,180.00
05-26-2016,173.00,180.00,180.00,180.00,180.00
05-27-2016,173.00,180.00,180.00,180.00,180.00
05-30-2016,173.00,180.00,180.00,180.00,180.00
05-31-2016,173.00,180.00,180.00,180.00,180.00
06-01-2016,180.00,189.00,189.00,189.00,189.00
06-02-2016,189.00,198.45,198.45,198.45,198.45
06-04-2016,198.45,208.35,208.35,208.30,208.30
06-06-2016,208.30,218.70,218.70,218.70,218.70
06-07-2016,218.70,229.60,229.60,229.60,229.60
06-08-2016,229.60,241.05,241.05,241.05,241.05
06-09-2016,241.05,244.80,244.80,244.80,244.80
06-10-2016,244.80,244.80,244.80,244.80,244.80
06-13-2016,244.80,244.80,244.80,244.80,244.80
06-14-2016,244.80,232.65,244.80,232.65,244.80
06-15-2016,244.80,244.80,244.80,244.80,244.80
06-16-2016,244.80,244.80,244.80,244.80,244.80
06-17-2016,244.80,244.80,244.80,244.80,244.80
06-19-2016,244.80,244.80,244.80,244.80,244.80
06-21-2016,244.80,244.80,244.80,244.80,244.80
06-22-2016,244.80,244.80,244.80,244.80,244.80
06-23-2016,244.80,244.80,244.80,244.80,244.80
06-24-2016,244.80,232.60,233.00,232.60,233.00
06-27-2016,233.00,244.65,244.65,244.65,244.65
06-28-2016,233.00,244.65,244.65,244.65,244.65
06-29-2016,233.00,244.65,244.65,244.65,244.65
06-30-2016,233.00,244.65,244.65,244.65,244.65
07-01-2016,233.00,244.65,244.65,244.65,244.65
07-05-2016,233.00,244.65,244.65,244.65,244.65
07-05-2016,233.00,244.65,244.65,244.65,244.65
07-08-2016,233.00,244.65,244.65,244.65,244.65
07-08-2016,233.00,244.65,244.65,244.65,244.65
07-11-2016,233.00,244.65,244.65,244.65,244.65
07-12-2016,244.65,256.85,256.85,256.85,256.85
