Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,9.46,9.55,9.65,9.40,9.53
05-19-2016,9.53,9.49,10.00,9.40,9.78
05-20-2016,9.78,9.82,10.44,9.65,9.97
05-20-2016,9.97,9.97,10.27,9.75,9.84
05-23-2016,9.84,9.91,10.50,9.85,10.06
05-24-2016,10.06,10.05,10.45,9.32,10.04
05-25-2016,10.04,10.38,10.63,9.75,9.93
05-26-2016,9.93,10.05,10.35,9.80,9.86
05-27-2016,9.86,10.05,10.19,9.76,9.87
05-30-2016,9.87,9.99,10.05,9.52,9.61
05-31-2016,9.61,9.66,9.68,9.25,9.32
06-01-2016,9.32,9.36,9.53,9.17,9.21
06-02-2016,9.21,9.18,9.29,9.02,9.17
06-04-2016,9.17,9.12,9.39,9.12,9.21
06-06-2016,9.21,9.26,9.33,9.14,9.16
06-07-2016,9.16,9.18,9.24,9.08,9.12
06-08-2016,9.12,9.18,9.63,9.05,9.54
06-09-2016,9.54,9.64,9.64,9.30,9.37
06-10-2016,9.37,9.35,9.77,9.26,9.50
06-13-2016,9.50,9.49,9.84,9.34,9.71
06-14-2016,9.71,9.82,10.34,9.75,10.20
06-15-2016,10.20,10.26,10.41,9.85,10.02
06-16-2016,10.02,10.02,10.20,9.60,10.01
06-17-2016,10.01,10.05,10.07,9.77,9.90
06-19-2016,9.90,9.82,10.58,9.74,10.41
06-21-2016,10.41,10.58,11.57,10.52,11.28
06-22-2016,11.28,11.37,11.44,10.55,10.63
06-23-2016,10.63,10.55,10.67,10.30,10.50
06-24-2016,10.50,9.86,10.23,9.67,10.17
06-27-2016,10.17,10.25,11.10,10.09,10.96
06-28-2016,10.96,11.04,11.23,10.74,10.85
06-29-2016,10.85,11.01,11.40,11.01,11.20
06-30-2016,11.20,11.25,12.38,11.14,12.15
07-01-2016,12.15,12.20,12.65,11.90,12.46
07-05-2016,12.46,12.47,12.89,12.40,12.44
07-05-2016,12.44,12.38,12.44,11.92,11.96
07-08-2016,11.96,11.80,13.10,11.80,12.82
07-08-2016,12.82,13.03,14.14,12.86,13.93
07-11-2016,13.93,14.20,14.24,13.42,13.68
07-12-2016,13.68,13.70,13.75,12.91,13.15
