Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1.13,1.10,1.21,1.05,1.20
05-19-2016,1.20,1.11,1.15,1.09,1.14
05-20-2016,1.14,1.11,1.20,1.08,1.19
05-21-2016,1.19,1.17,1.18,1.10,1.14
05-23-2016,1.14,1.13,1.13,1.13,1.13
05-24-2016,1.13,1.11,1.14,1.05,1.10
05-25-2016,1.10,1.22,1.22,1.04,1.05
05-26-2016,1.05,1.05,1.10,1.00,1.09
05-27-2016,1.09,1.02,1.12,1.02,1.04
05-30-2016,1.04,1.11,1.19,1.02,1.15
05-31-2016,1.15,1.15,1.19,1.08,1.17
06-01-2016,1.17,1.10,1.17,1.09,1.10
06-02-2016,1.10,1.09,1.15,1.06,1.15
06-04-2016,1.15,1.13,1.13,1.06,1.08
06-06-2016,1.08,1.10,1.12,1.01,1.01
06-07-2016,1.01,1.12,1.12,1.01,1.05
06-08-2016,1.05,1.05,1.12,1.02,1.08
06-09-2016,1.08,1.10,1.10,1.04,1.08
06-10-2016,1.08,1.04,1.12,1.03,1.07
06-13-2016,1.07,1.11,1.12,1.00,1.12
06-14-2016,1.12,1.12,1.34,1.10,1.26
06-15-2016,1.26,1.32,1.32,1.25,1.29
06-16-2016,1.29,1.27,1.29,1.11,1.14
06-17-2016,1.14,1.20,1.20,1.10,1.15
06-19-2016,1.15,1.10,1.25,1.10,1.25
06-21-2016,1.25,1.21,1.25,1.21,1.25
06-22-2016,1.25,1.12,1.25,1.12,1.20
06-23-2016,1.20,1.14,1.16,1.14,1.15
06-24-2016,1.15,1.10,1.16,1.06,1.16
06-27-2016,1.16,1.15,1.20,1.12,1.15
06-28-2016,1.15,1.18,1.25,1.12,1.19
06-29-2016,1.19,1.19,1.32,1.15,1.22
06-30-2016,1.22,1.28,1.28,1.18,1.21
07-01-2016,1.21,1.20,1.24,1.15,1.18
07-05-2016,1.18,1.20,1.20,1.15,1.20
07-05-2016,1.20,1.20,1.24,1.16,1.24
07-08-2016,1.24,1.28,1.33,1.20,1.29
07-08-2016,1.29,1.33,1.33,1.22,1.26
07-11-2016,1.26,1.26,1.31,1.22,1.26
07-12-2016,1.26,1.26,1.29,1.21,1.21
