Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,13.60,15.05,15.05,13.43,14.24
05-19-2016,14.24,13.22,14.80,13.22,14.27
05-20-2016,14.27,15.19,15.19,14.09,14.09
05-21-2016,14.09,13.55,15.19,13.40,14.70
05-23-2016,14.70,16.00,17.50,13.81,13.94
05-24-2016,13.94,14.05,14.40,13.35,14.40
05-25-2016,14.40,14.40,17.00,13.70,13.80
05-26-2016,13.80,14.00,14.27,13.00,13.33
05-27-2016,13.33,14.10,14.10,13.15,13.50
05-30-2016,13.50,14.00,15.30,13.15,13.60
05-31-2016,13.60,14.20,14.20,12.14,13.33
06-01-2016,13.33,13.99,13.99,13.99,13.99
06-02-2016,13.99,14.19,14.19,13.01,13.91
06-04-2016,13.91,13.88,13.88,13.10,13.40
06-06-2016,13.40,14.70,14.70,13.20,13.21
06-07-2016,13.46,13.55,13.55,12.85,13.10
06-08-2016,13.10,13.00,13.30,12.83,13.06
06-09-2016,13.06,14.00,14.00,13.00,13.00
06-10-2016,13.00,13.25,14.40,13.10,13.65
06-13-2016,13.65,14.00,15.50,13.40,14.80
06-14-2016,14.80,15.99,15.99,13.15,13.20
06-15-2016,13.20,14.75,14.75,13.29,13.33
06-16-2016,13.33,13.50,13.98,13.50,13.69
06-17-2016,13.69,14.10,14.10,13.16,13.23
06-19-2016,13.23,13.15,13.98,13.15,13.23
06-21-2016,13.23,13.97,13.97,13.97,13.97
06-22-2016,13.97,14.19,14.19,13.95,13.95
06-23-2016,13.95,13.06,13.50,13.06,13.12
06-24-2016,13.12,10.50,13.90,10.50,13.23
06-27-2016,13.23,13.05,14.19,13.04,13.18
06-28-2016,13.18,14.19,14.19,13.20,13.22
06-29-2016,13.22,13.25,14.17,13.00,13.27
06-30-2016,13.27,13.55,15.50,13.30,13.35
07-01-2016,13.35,14.99,14.99,13.35,14.14
07-05-2016,14.14,13.84,14.85,13.84,14.50
07-05-2016,14.50,15.50,15.50,13.72,13.75
07-08-2016,13.75,14.70,14.70,13.75,13.78
07-08-2016,13.78,13.40,14.00,13.10,13.40
07-11-2016,13.40,13.33,14.58,13.33,13.67
07-12-2016,13.67,13.95,13.95,13.10,13.33
