Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,1356.00,1362.00,1377.00,1336.50,1341.50
05-19-2016,1341.50,1345.00,1358.25,1335.00,1343.25
05-20-2016,1343.25,1343.00,1350.00,1339.50,1343.00
05-20-2016,1343.00,1345.00,1350.00,1311.00,1328.00
05-23-2016,1328.00,1330.00,1335.00,1306.00,1306.45
05-24-2016,1306.45,1310.00,1325.05,1306.00,1314.25
05-25-2016,1314.25,1318.50,1349.45,1318.50,1344.75
05-26-2016,1344.75,1349.00,1370.00,1349.00,1356.90
05-27-2016,1356.90,1360.00,1405.00,1346.05,1396.30
05-30-2016,1396.30,1390.00,1470.00,1366.00,1415.70
05-31-2016,1415.70,1411.85,1411.90,1375.50,1387.15
06-01-2016,1387.15,1395.00,1423.40,1395.00,1406.80
06-02-2016,1406.80,1411.80,1475.00,1400.00,1457.65
06-04-2016,1457.65,1456.90,1457.00,1423.80,1431.85
06-06-2016,1431.85,1448.40,1474.00,1439.70,1467.85
06-07-2016,1467.85,1473.00,1491.85,1452.60,1464.00
06-08-2016,1464.00,1460.00,1472.40,1437.00,1441.25
06-09-2016,1441.25,1445.00,1450.00,1423.00,1446.05
06-10-2016,1446.05,1448.50,1460.00,1443.55,1456.90
06-13-2016,1456.90,1440.05,1447.45,1420.00,1427.85
06-14-2016,1427.85,1435.00,1505.55,1415.00,1473.40
06-15-2016,1473.40,1490.00,1490.05,1460.00,1476.10
06-16-2016,1476.10,1470.00,1495.55,1457.05,1474.10
06-17-2016,1474.10,1465.00,1495.00,1461.60,1463.90
06-19-2016,1463.90,1460.00,1474.35,1450.00,1457.65
06-21-2016,1457.65,1460.00,1464.35,1442.60,1457.75
06-22-2016,1457.75,1459.30,1467.75,1445.30,1455.85
06-23-2016,1455.85,1450.00,1471.00,1445.00,1462.50
06-24-2016,1462.50,1440.00,1469.85,1411.75,1462.10
06-27-2016,1462.10,1470.05,1470.05,1440.05,1442.60
06-28-2016,1442.60,1459.95,1483.00,1456.15,1465.30
06-29-2016,1465.30,1470.00,1524.75,1470.00,1495.45
06-30-2016,1495.45,1499.50,1527.70,1498.30,1516.25
07-01-2016,1516.25,1520.00,1536.20,1517.50,1523.20
07-05-2016,1523.20,1530.00,1536.90,1484.05,1491.90
07-05-2016,1491.90,1500.00,1500.00,1478.00,1495.25
07-07-2016,1495.25,1498.90,1515.00,1485.00,1491.70
07-08-2016,1491.70,1485.00,1494.40,1472.00,1475.70
07-11-2016,1475.70,1487.05,1501.90,1480.75,1500.00
07-12-2016,1499.40,1495.00,1548.05,1490.00,1535.65
