Date,Previous Close,Today Open,Today High,Today Low,Today Close
06-07-2016,28.15,29.55,29.55,29.55,29.55

06-08-2016,29.55,29.90,31.00,29.90,31.00
06-09-2016,31.00,32.00,32.15,31.00,31.60
06-10-2016,31.00,32.00,32.15,31.00,31.60
06-13-2016,31.60,30.05,32.50,30.05,32.50
06-14-2016,32.50,33.15,33.15,33.15,33.15
06-15-2016,33.15,32.00,32.00,32.00,32.00
06-16-2016,33.15,32.00,32.00,32.00,32.00
06-17-2016,33.15,32.00,32.00,32.00,32.00
06-19-2016,33.15,32.00,32.00,32.00,32.00
06-21-2016,33.15,32.00,32.00,32.00,32.00
06-22-2016,33.15,32.00,32.00,32.00,32.00
06-23-2016,32.00,32.00,32.00,32.00,32.00
06-24-2016,32.00,32.00,32.00,32.00,32.00
06-27-2016,32.00,32.00,32.00,32.00,32.00
06-28-2016,32.00,32.00,32.00,32.00,32.00
06-29-2016,32.00,30.45,31.90,30.45,31.90
06-30-2016,32.00,30.45,31.90,30.45,31.90
07-01-2016,32.00,30.45,31.90,30.45,31.90
07-05-2016,31.90,33.30,33.45,30.75,32.75
07-05-2016,32.75,34.35,34.35,34.35,34.35
07-07-2016,34.35,36.00,36.05,35.95,36.00
07-08-2016,36.00,37.50,37.80,35.25,35.50
07-11-2016,35.50,37.10,37.25,35.50,35.50
07-12-2016,35.50,36.50,37.00,35.00,35.00
07-13-2016,35.00,36.75,36.75,34.60,34.95
