Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,393.25,402.00,436.35,402.00,431.65
05-19-2016,431.65,435.00,435.00,417.60,427.55
05-19-2016,427.55,438.00,438.00,368.55,370.90
05-20-2016,370.90,370.00,380.80,365.00,374.10
05-23-2016,374.10,381.00,381.00,364.50,365.80
05-24-2016,365.80,366.90,371.00,358.00,360.40
05-25-2016,360.40,364.00,370.50,362.60,368.90
05-26-2016,368.90,367.50,378.80,364.00,376.75
05-27-2016,376.75,377.70,387.50,377.70,381.50
05-30-2016,381.50,384.30,387.00,375.20,378.55
05-31-2016,378.55,378.00,379.90,371.25,374.30
06-01-2016,374.30,371.50,377.40,362.80,364.30
06-02-2016,364.30,358.00,371.75,356.00,369.45
06-04-2016,369.45,369.00,372.65,361.10,363.30
06-06-2016,363.30,364.10,368.30,361.00,363.10
06-07-2016,363.15,363.20,365.00,358.75,361.05
06-08-2016,361.05,359.00,360.25,355.25,358.50
06-09-2016,358.50,356.05,363.00,356.00,358.75
06-10-2016,358.75,362.00,375.00,346.25,370.45
06-13-2016,370.45,365.50,369.40,362.00,364.75
06-14-2016,364.75,366.30,374.00,363.50,372.90
06-15-2016,372.90,376.10,385.45,374.60,380.80
06-16-2016,380.80,382.50,382.50,365.05,374.50
06-17-2016,374.50,376.40,380.65,368.10,370.00
06-19-2016,370.00,368.10,375.25,367.00,371.70
06-21-2016,371.70,374.70,375.95,361.75,364.95
06-22-2016,364.95,365.85,370.30,363.60,366.35
06-23-2016,366.35,366.55,367.50,361.00,363.05
06-24-2016,363.05,360.00,360.00,334.00,349.95
06-27-2016,349.95,351.00,357.50,344.50,354.10
06-28-2016,354.10,353.90,359.20,353.70,355.20
06-29-2016,355.20,358.90,359.20,351.00,356.90
06-30-2016,356.90,354.00,368.90,354.00,363.45
07-01-2016,363.45,367.50,372.40,364.20,370.10
07-05-2016,370.10,371.40,375.00,369.25,372.70
07-05-2016,372.70,372.55,376.80,368.25,370.10
07-07-2016,370.10,371.00,383.35,366.20,381.60
07-08-2016,381.60,382.50,383.90,374.85,379.10
07-11-2016,379.10,379.90,387.20,379.00,383.85
07-12-2016,383.85,379.00,382.00,373.10,375.85
07-13-2016,375.85,376.00,376.00,368.30,372.30
