Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,468.10,466.00,474.00,466.00,466.30
05-19-2016,466.30,471.00,471.00,470.00,470.10
05-20-2016,470.10,459.50,460.00,452.10,452.10
05-21-2016,452.10,455.00,468.90,451.00,452.40
05-23-2016,452.40,450.00,457.95,450.00,453.45
05-24-2016,453.45,455.00,460.00,451.10,460.00
05-25-2016,460.00,473.40,474.00,400.00,408.65
05-26-2016,408.65,403.70,416.00,403.70,411.25
05-27-2016,411.25,408.00,424.60,408.00,415.10
05-30-2016,415.10,435.90,435.90,416.00,416.00
05-31-2016,416.00,420.00,420.00,410.00,410.00
06-01-2016,410.00,455.00,455.00,411.10,417.85
06-02-2016,417.85,423.70,423.70,403.00,409.00
06-04-2016,409.00,421.00,421.00,405.05,406.40
06-06-2016,406.40,402.00,406.00,397.10,402.60
06-07-2016,402.65,391.10,400.00,391.10,399.00
06-08-2016,399.00,400.00,412.00,396.20,407.95
06-09-2016,407.95,411.90,412.00,402.25,404.65
06-10-2016,404.65,412.95,412.95,401.50,402.05
06-13-2016,404.65,412.95,412.95,401.50,402.05
06-14-2016,402.05,400.50,401.00,400.50,401.00
06-15-2016,401.00,414.00,414.00,400.00,409.95
06-16-2016,409.95,385.00,429.80,380.00,399.25
06-17-2016,399.25,387.00,406.80,387.00,396.40
06-19-2016,396.40,396.00,400.00,388.20,400.00
06-21-2016,400.00,385.25,416.90,380.60,387.95
06-22-2016,387.95,387.20,391.00,385.00,385.70
06-23-2016,385.70,400.95,400.95,375.00,388.60
06-24-2016,388.60,378.00,395.00,378.00,383.00
06-27-2016,383.00,393.00,403.90,393.00,393.80
06-28-2016,393.80,397.45,397.45,379.15,385.80
06-29-2016,385.80,391.20,399.80,391.20,396.90
06-30-2016,396.90,400.00,410.00,397.00,401.25
07-01-2016,401.25,400.00,410.00,400.00,405.20
07-05-2016,405.20,406.00,414.90,405.00,408.30
07-05-2016,408.30,424.00,425.00,408.00,422.55
07-08-2016,422.55,471.00,471.00,420.75,432.95
07-08-2016,432.95,430.00,442.05,430.00,431.85
07-11-2016,431.85,442.00,457.00,433.00,433.00
07-12-2016,433.00,396.70,463.50,396.70,459.70
