Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,864.90,866.10,882.85,865.90,879.65
05-19-2016,879.65,875.80,891.70,875.00,887.15
05-20-2016,887.15,889.00,890.90,872.50,887.55
05-21-2016,887.55,882.45,893.00,876.00,883.80
05-23-2016,883.80,882.40,908.95,882.35,904.80
05-24-2016,904.80,908.85,909.75,895.15,900.40
05-25-2016,900.40,900.00,916.80,890.20,901.55
05-26-2016,901.55,900.00,934.50,900.00,930.35
05-27-2016,930.35,935.00,935.75,901.25,913.55
05-30-2016,913.55,924.65,946.70,921.90,934.75
05-31-2016,934.75,932.40,999.90,930.00,986.45
06-01-2016,986.45,965.00,968.20,925.00,928.10
06-02-2016,928.10,935.00,935.00,916.85,917.80
06-04-2016,917.80,924.15,925.55,878.80,886.50
06-06-2016,886.50,899.00,899.00,874.00,879.25
06-07-2016,879.25,875.00,924.00,875.00,908.80
06-08-2016,908.80,914.10,930.45,897.50,917.85
06-09-2016,917.85,914.20,920.00,903.00,906.00
06-10-2016,906.00,900.00,902.65,888.20,892.90
06-13-2016,892.90,892.00,892.00,872.00,873.45
06-14-2016,873.45,874.80,907.95,851.00,883.60
06-15-2016,883.60,883.00,896.00,880.35,888.75
06-16-2016,888.75,882.50,892.55,862.50,868.10
06-17-2016,868.10,875.00,881.45,856.00,865.10
06-19-2016,865.10,860.00,881.05,855.25,874.55
06-21-2016,874.55,882.50,913.70,863.00,868.35
06-22-2016,868.35,872.00,881.45,857.85,873.30
06-23-2016,873.30,875.45,893.75,875.45,880.90
06-24-2016,880.90,860.50,883.60,853.00,878.20
06-27-2016,878.20,880.00,905.00,880.00,898.30
06-28-2016,898.30,904.20,913.00,898.45,901.05
06-29-2016,901.05,895.00,912.00,890.00,908.60
06-30-2016,908.60,910.00,915.00,899.85,912.50
07-01-2016,912.50,913.00,918.40,893.70,899.00
07-05-2016,899.00,899.00,904.85,890.00,894.45
07-05-2016,894.45,894.95,906.95,892.45,896.30
07-08-2016,896.30,900.15,907.95,888.00,889.45
07-08-2016,889.45,892.95,905.00,882.35,891.90
07-11-2016,891.90,897.15,902.50,885.10,890.45
07-12-2016,890.45,893.15,893.20,880.00,882.80
