Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,7.71,7.78,8.32,7.72,8.29
05-19-2016,8.29,8.39,8.39,8.01,8.02
05-20-2016,8.02,8.10,8.79,7.90,8.08
05-21-2016,8.08,8.00,8.00,7.75,7.82
05-23-2016,7.82,7.51,7.98,7.51,7.98
05-24-2016,7.98,7.75,8.13,7.70,8.10
05-25-2016,8.10,7.70,8.27,7.70,8.27
05-26-2016,8.27,7.86,8.25,7.86,8.00
05-27-2016,8.00,7.68,8.25,7.65,8.16
05-30-2016,8.16,7.78,7.78,7.76,7.76
05-31-2016,7.76,7.38,7.38,7.38,7.38
06-01-2016,7.38,7.16,7.73,7.02,7.02
06-02-2016,7.02,6.75,7.00,6.67,6.67
06-04-2016,6.67,6.50,6.65,6.35,6.40
06-06-2016,6.40,6.45,6.72,6.31,6.31
06-07-2016,6.31,6.25,6.45,6.20,6.45
06-08-2016,6.45,6.77,6.77,6.77,6.77
06-09-2016,6.77,6.50,6.55,6.45,6.55
06-10-2016,6.55,6.86,6.86,6.86,6.86
06-13-2016,6.86,7.20,7.20,7.10,7.10
06-14-2016,7.10,6.90,7.45,6.90,7.45
06-15-2016,7.45,7.82,7.82,7.12,7.82
06-16-2016,7.82,8.20,8.21,7.43,7.48
06-17-2016,7.48,7.85,7.85,7.45,7.84
06-19-2016,7.84,7.84,7.95,7.45,7.95
06-21-2016,7.95,8.30,8.30,7.60,8.03
06-22-2016,8.03,8.00,8.00,7.80,7.80
06-23-2016,7.80,7.45,8.00,7.45,8.00
06-24-2016,7.80,7.45,8.00,7.45,8.00
06-27-2016,8.00,8.00,8.10,7.60,7.60
06-28-2016,7.60,7.60,7.98,7.60,7.98
06-29-2016,7.98,8.10,8.34,7.65,8.33
06-30-2016,8.33,8.49,8.50,7.95,8.39
07-01-2016,8.39,8.00,8.05,8.00,8.00
07-05-2016,8.00,7.60,8.05,7.60,8.05
07-05-2016,8.05,8.10,8.25,7.80,7.80
07-08-2016,7.80,8.18,8.19,8.18,8.19
07-08-2016,8.19,8.54,8.55,8.40,8.40
07-11-2016,8.40,8.00,8.60,8.00,8.24
07-12-2016,8.24,7.95,8.60,7.95,8.01
