Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,137.50,128.80,132.00,123.80,123.80
05-19-2016,123.80,120.00,127.90,120.00,127.00
05-20-2016,127.00,130.00,130.00,130.00,130.00
05-21-2016,130.00,128.00,130.00,128.00,129.40
05-23-2016,129.40,127.00,127.40,126.95,127.00
05-24-2016,127.00,130.00,136.00,130.00,135.50
05-25-2016,135.50,136.00,136.00,125.00,132.35
05-26-2016,132.35,122.20,131.90,122.15,131.90
05-27-2016,132.35,122.20,131.90,122.15,131.90
05-30-2016,131.90,121.50,121.50,119.00,120.95
05-31-2016,120.95,111.60,120.00,111.50,114.90
06-01-2016,114.90,112.10,121.20,112.05,121.20
06-02-2016,121.20,112.10,124.00,112.05,124.00
06-04-2016,121.20,112.10,124.00,112.05,124.00
06-06-2016,124.00,121.70,121.80,121.70,121.80
06-07-2016,121.80,119.90,131.00,119.90,130.95
06-08-2016,130.95,129.00,145.90,129.00,145.90
06-09-2016,145.90,143.00,159.00,128.10,140.00
06-10-2016,140.00,136.00,153.00,136.00,144.50
06-13-2016,140.00,136.00,153.00,136.00,144.50
06-14-2016,144.50,127.05,138.95,127.05,138.95
06-15-2016,138.95,139.95,149.40,139.95,149.40
06-16-2016,149.40,150.00,150.00,150.00,150.00
06-17-2016,149.40,150.00,150.00,150.00,150.00
06-19-2016,150.00,130.85,144.45,130.80,144.45
06-21-2016,144.45,145.05,145.05,140.00,140.00
06-22-2016,140.00,130.00,138.90,130.00,138.00
06-23-2016,138.00,135.00,135.00,135.00,135.00
06-24-2016,135.00,135.00,143.80,116.90,135.00
06-27-2016,135.00,130.00,135.00,128.10,134.00
06-28-2016,134.00,134.20,143.00,134.20,143.00
06-29-2016,143.00,145.00,147.70,132.00,142.00
06-30-2016,142.00,132.20,142.05,132.20,142.00
07-01-2016,142.00,138.10,152.00,138.10,148.90
07-05-2016,148.90,145.00,155.00,135.00,144.30
07-05-2016,144.30,139.00,140.00,139.00,140.00
07-08-2016,140.00,137.50,139.00,135.90,138.20
07-08-2016,138.20,135.00,135.00,135.00,135.00
07-11-2016,135.00,135.00,136.00,130.00,130.65
07-12-2016,130.65,138.00,139.80,130.00,130.10
