Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,21.65,20.20,21.10,20.15,21.10
05-19-2016,21.10,20.15,20.95,19.45,20.80
05-20-2016,20.80,21.95,21.95,20.50,21.00
05-21-2016,21.00,20.05,20.95,20.05,20.90
05-23-2016,20.90,19.65,20.20,19.65,19.95
05-24-2016,19.95,20.00,23.00,20.00,21.65
05-25-2016,21.65,22.60,22.90,20.20,22.65
05-26-2016,22.65,21.00,22.65,21.00,22.60
05-27-2016,22.60,22.65,23.85,21.60,22.75
05-30-2016,22.60,22.65,23.85,21.60,22.75
05-31-2016,22.75,22.50,22.70,21.50,21.50
06-01-2016,21.50,21.10,22.50,21.10,22.50
06-02-2016,22.50,21.00,22.00,21.00,21.25
06-04-2016,21.25,21.00,21.90,19.75,20.05
06-06-2016,20.05,20.20,21.00,19.80,20.80
06-07-2016,20.80,20.20,20.20,19.50,20.00
06-08-2016,20.00,20.30,21.00,20.30,20.80
06-09-2016,20.80,20.20,20.90,19.30,20.30
06-10-2016,20.30,20.00,20.00,19.45,20.00
06-13-2016,20.00,20.70,20.70,20.70,20.70
06-14-2016,20.70,20.90,20.90,19.20,20.55
06-15-2016,20.55,20.50,21.00,19.65,20.90
06-16-2016,20.90,20.55,21.45,19.40,21.45
06-17-2016,21.45,21.70,21.70,20.95,21.15
06-19-2016,21.15,20.00,20.95,20.00,20.35
06-21-2016,20.35,20.35,20.80,20.20,20.65
06-22-2016,20.65,20.70,21.45,20.70,21.00
06-23-2016,21.00,21.00,21.65,20.20,21.50
06-24-2016,21.00,21.00,21.65,20.20,21.50
06-27-2016,21.00,21.00,21.65,20.20,21.50
06-28-2016,21.00,21.00,21.65,20.20,21.50
06-29-2016,21.50,20.35,21.00,20.35,21.00
06-30-2016,21.00,21.40,21.55,21.25,21.55
07-01-2016,21.55,21.00,22.00,21.00,21.95
07-05-2016,21.95,22.00,22.55,22.00,22.50
07-05-2016,22.50,20.75,22.25,20.75,22.15
07-08-2016,22.15,21.10,21.90,20.75,21.50
07-08-2016,21.50,20.75,21.60,20.75,21.55
07-11-2016,21.55,21.95,21.95,20.85,21.40
07-12-2016,21.40,21.00,22.50,21.00,22.45
