Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,92.00,90.70,91.00,88.55,89.00
05-19-2016,89.00,89.35,89.50,88.50,89.25
05-20-2016,89.25,88.45,89.45,88.00,88.15
05-21-2016,88.15,88.05,88.40,87.25,87.50
05-23-2016,87.50,88.25,88.50,86.70,87.10
05-24-2016,87.10,87.45,87.45,85.40,85.85
05-25-2016,85.85,86.65,87.50,86.20,86.95
05-26-2016,86.95,87.20,87.40,86.50,86.85
05-27-2016,86.85,87.25,88.40,86.60,87.80
05-30-2016,87.80,88.60,89.00,88.10,88.40
05-31-2016,88.40,89.90,89.90,87.05,87.75
06-01-2016,87.75,90.00,90.00,87.25,87.90
06-02-2016,87.90,87.50,87.95,87.10,87.45
06-04-2016,87.45,88.00,90.05,87.40,87.80
06-06-2016,87.80,88.25,88.80,86.75,87.90
06-07-2016,87.70,88.05,88.75,87.10,88.10
06-08-2016,88.10,88.25,91.00,87.65,89.95
06-09-2016,89.95,91.90,94.40,91.25,91.75
06-10-2016,91.75,91.50,92.40,90.50,90.85
06-13-2016,90.85,92.05,105.50,89.75,101.85
06-14-2016,101.85,101.05,104.75,99.55,100.20
06-15-2016,100.20,99.05,103.25,99.05,99.90
06-16-2016,99.90,99.80,102.50,98.35,99.75
06-17-2016,99.75,100.55,106.30,100.35,102.25
06-19-2016,102.25,101.00,103.60,99.70,100.40
06-21-2016,100.40,101.70,102.00,98.05,98.30
06-22-2016,98.30,99.00,109.70,98.15,107.65
06-23-2016,107.65,105.90,106.65,102.10,102.55
06-24-2016,102.55,99.00,99.85,96.40,99.05
06-27-2016,99.05,98.05,105.50,98.05,103.70
06-28-2016,103.70,104.00,107.70,103.60,104.40
06-29-2016,104.40,104.90,108.50,104.85,105.65
06-30-2016,105.65,106.50,108.20,105.25,105.80
07-01-2016,105.80,106.65,114.90,105.60,113.95
07-05-2016,113.95,114.45,116.50,112.50,112.75
07-05-2016,112.75,112.95,115.65,111.50,113.80
07-08-2016,113.80,114.05,118.10,112.80,115.55
07-08-2016,115.55,115.00,115.50,112.50,113.35
07-11-2016,113.35,114.60,116.50,113.35,113.90
07-12-2016,113.90,114.95,116.70,114.00,114.45
