Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,489.50,490.00,563.85,487.00,540.20
05-19-2016,540.20,540.00,562.00,539.90,545.25
05-20-2016,545.25,547.00,547.35,522.45,526.75
05-20-2016,526.75,523.45,532.05,523.45,525.25
05-23-2016,525.25,534.00,534.00,519.95,528.30
05-24-2016,528.30,534.00,535.00,505.05,507.15
05-25-2016,507.15,515.55,528.90,511.00,515.60
05-26-2016,515.60,520.95,522.90,519.95,520.10
05-27-2016,520.10,520.00,525.40,520.00,520.90
05-30-2016,520.90,523.95,523.95,520.00,520.15
05-31-2016,520.15,525.00,526.00,520.00,520.90
06-01-2016,520.90,524.45,540.00,521.10,533.10
06-02-2016,533.10,531.95,531.95,521.30,522.55
06-04-2016,522.55,520.60,525.00,520.00,520.70
06-06-2016,520.70,521.10,521.10,512.60,513.85
06-07-2016,513.85,520.00,525.00,516.80,520.85
06-08-2016,520.85,523.70,526.00,519.50,520.00
06-09-2016,520.00,523.35,525.00,515.10,517.70
06-10-2016,517.70,522.10,522.10,515.50,516.90
06-13-2016,516.90,519.85,519.85,507.50,508.35
06-14-2016,508.35,511.05,517.95,507.00,508.20
06-15-2016,508.20,510.00,522.00,508.20,510.75
06-16-2016,510.75,513.40,513.95,508.20,508.90
06-17-2016,508.90,515.50,516.15,511.10,514.00
06-19-2016,514.00,509.10,513.70,509.00,512.05
06-21-2016,512.05,509.35,516.60,509.35,511.00
06-22-2016,511.00,514.45,514.45,510.05,511.10
06-23-2016,511.10,510.00,515.00,510.00,512.35
06-24-2016,512.35,501.10,508.00,495.20,498.65
06-27-2016,498.65,500.05,503.40,498.50,500.20
06-28-2016,500.20,498.70,508.50,498.70,502.25
06-29-2016,502.25,505.50,505.50,501.90,504.45
06-30-2016,504.45,507.00,516.00,507.00,515.05
07-01-2016,515.05,517.00,518.90,510.75,512.45
07-05-2016,512.45,520.00,536.70,513.00,530.60
07-05-2016,530.60,530.60,530.60,520.50,525.60
07-08-2016,525.60,520.05,525.10,520.05,522.00
07-08-2016,522.00,524.50,524.50,512.20,515.65
07-11-2016,515.65,521.25,521.25,514.10,515.55
07-12-2016,515.55,516.80,519.95,513.10,515.10
