Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,392.55,391.50,395.00,387.30,389.90
05-19-2016,389.90,384.00,387.40,381.80,385.00
05-19-2016,385.00,385.25,393.15,383.10,387.70
05-20-2016,387.70,386.25,392.50,383.30,384.55
05-23-2016,384.55,388.00,389.90,380.55,382.75
05-24-2016,382.75,384.40,392.00,382.35,389.25
05-25-2016,389.25,393.55,399.70,393.55,397.00
05-26-2016,397.00,399.00,401.70,396.85,399.30
05-27-2016,399.30,400.00,404.65,395.95,403.50
05-30-2016,403.50,405.40,421.90,401.60,420.55
05-31-2016,420.55,456.30,463.90,444.15,458.20
06-01-2016,458.20,455.70,458.20,446.25,449.20
06-02-2016,449.20,445.00,460.30,443.95,453.20
06-04-2016,453.20,456.55,461.75,452.30,453.90
06-06-2016,453.90,457.25,464.90,450.50,460.75
06-07-2016,460.75,466.95,467.00,458.65,463.05
06-08-2016,463.05,465.00,468.70,462.95,466.30
06-09-2016,466.30,467.80,470.25,464.75,466.70
06-10-2016,466.70,467.90,467.90,455.10,457.20
06-13-2016,457.20,450.00,451.00,436.90,444.25
06-14-2016,444.25,448.10,453.75,441.20,448.40
06-15-2016,448.40,450.00,453.00,447.35,452.20
06-16-2016,452.20,451.50,455.00,446.25,454.00
06-17-2016,454.00,460.00,464.90,457.40,463.20
06-19-2016,463.20,463.50,483.15,460.40,481.65
06-21-2016,481.65,482.50,486.15,477.25,485.00
06-22-2016,485.00,483.90,484.70,468.15,472.50
06-23-2016,472.50,475.55,489.60,475.55,488.00
06-24-2016,488.00,439.20,453.45,425.00,449.00
06-27-2016,449.00,451.00,457.45,443.70,448.60
06-28-2016,448.60,449.90,449.90,438.35,440.35
06-29-2016,440.35,445.20,449.50,445.20,447.10
06-30-2016,447.10,454.00,461.95,452.00,459.25
07-01-2016,459.25,463.00,464.80,455.00,457.90
07-05-2016,457.90,467.90,474.80,467.90,468.90
07-05-2016,468.90,468.90,468.90,459.40,460.55
07-07-2016,460.55,462.60,465.45,454.00,455.25
07-08-2016,455.25,463.25,467.50,462.90,465.20
07-11-2016,465.20,471.10,486.40,471.10,484.50
07-12-2016,484.50,485.00,488.65,481.10,484.20
