Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,36.80,37.70,39.50,37.60,38.80
05-19-2016,38.80,39.60,42.10,39.50,40.25
05-20-2016,40.25,41.70,43.30,39.00,39.80
05-21-2016,39.80,39.00,40.45,39.00,39.00
05-23-2016,39.00,38.65,39.50,38.50,38.50
05-24-2016,38.50,38.10,38.10,36.20,37.95
05-25-2016,37.95,38.05,39.90,38.05,39.30
05-26-2016,39.30,38.40,39.90,38.25,39.60
05-27-2016,39.60,38.40,38.40,36.85,37.55
05-30-2016,37.55,36.40,37.90,36.30,36.75
05-31-2016,36.75,36.55,37.00,34.70,34.95
06-01-2016,34.95,34.00,35.90,33.20,35.25
06-02-2016,35.25,35.00,36.70,34.70,34.75
06-04-2016,34.75,36.00,36.00,34.50,34.85
06-06-2016,34.85,36.90,38.00,36.00,36.05
06-07-2016,36.05,35.55,36.70,35.45,36.15
06-08-2016,36.15,36.95,37.25,36.40,37.05
06-09-2016,37.05,37.35,37.35,36.50,37.00
06-10-2016,37.00,37.80,39.00,37.55,37.85
06-13-2016,37.85,37.75,37.75,36.45,37.35
06-14-2016,37.35,36.70,38.80,36.70,38.10
06-15-2016,38.10,40.45,45.70,37.05,45.70
06-16-2016,45.70,47.15,54.80,46.50,53.30
06-17-2016,53.30,52.00,52.00,48.00,48.10
06-19-2016,48.10,47.10,49.65,46.70,46.90
06-21-2016,46.90,46.05,49.00,45.90,47.60
06-22-2016,47.60,48.80,49.30,46.70,47.00
06-23-2016,47.00,48.75,48.75,45.60,46.45
06-24-2016,46.45,44.25,45.00,43.00,43.95
06-27-2016,43.95,44.05,45.55,44.05,45.30
06-28-2016,45.30,45.10,47.00,45.10,45.90
06-29-2016,45.90,46.25,46.25,44.65,44.90
06-30-2016,44.90,44.20,45.85,44.00,44.05
07-01-2016,44.05,43.65,46.50,43.65,44.65
07-05-2016,44.65,46.35,46.35,44.05,45.00
07-05-2016,45.00,44.30,46.45,44.10,45.20
07-08-2016,45.20,45.15,46.95,45.10,45.75
07-08-2016,45.75,47.75,47.75,45.00,45.05
07-11-2016,45.05,46.35,46.40,44.40,44.60
07-12-2016,44.60,44.05,47.15,44.05,46.90
