Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,55.50,55.00,55.00,55.00,55.00
05-19-2016,55.00,57.75,57.75,57.75,57.75
05-19-2016,55.00,57.75,57.75,57.75,57.75
05-20-2016,57.75,60.60,60.60,60.60,60.60
05-23-2016,57.75,60.60,60.60,60.60,60.60
05-24-2016,60.60,63.60,63.60,63.60,63.60
05-25-2016,63.60,66.75,66.75,66.75,66.75
05-26-2016,66.75,70.05,70.05,70.05,70.05
05-27-2016,70.05,72.50,72.70,72.50,72.70
05-30-2016,72.70,76.30,76.30,76.30,76.30
05-31-2016,76.30,80.10,80.10,80.10,80.10
06-01-2016,80.10,82.00,84.10,76.10,76.10
06-02-2016,76.10,76.50,79.90,76.20,79.90
06-04-2016,79.90,79.90,83.85,79.90,83.85
06-06-2016,83.85,88.00,88.00,88.00,88.00
06-07-2016,88.00,88.60,88.60,84.00,84.00
06-08-2016,84.00,84.50,84.50,84.50,84.50
06-09-2016,84.00,84.50,84.50,84.50,84.50
06-10-2016,84.50,82.10,88.70,82.10,88.70
06-13-2016,84.50,82.10,88.70,82.10,88.70
06-14-2016,88.70,84.35,90.00,84.35,87.50
06-15-2016,87.50,88.55,90.00,84.05,87.55
06-16-2016,87.55,90.00,90.00,85.00,85.40
06-17-2016,85.40,85.00,85.00,85.00,85.00
06-19-2016,85.40,85.00,85.00,85.00,85.00
06-21-2016,85.00,89.00,89.00,81.05,81.05
06-22-2016,85.00,89.00,89.00,81.05,81.05
06-23-2016,81.05,78.50,84.50,78.50,83.65
06-24-2016,81.05,78.50,84.50,78.50,83.65
06-27-2016,81.05,78.50,84.50,78.50,83.65
06-28-2016,83.65,79.50,79.50,79.50,79.50
06-29-2016,83.65,79.50,79.50,79.50,79.50
06-30-2016,83.65,79.50,79.50,79.50,79.50
07-01-2016,83.65,79.50,79.50,79.50,79.50
07-05-2016,79.50,83.00,83.00,80.00,80.00
07-05-2016,80.00,79.00,79.00,79.00,79.00
07-07-2016,80.00,79.00,79.00,79.00,79.00
07-08-2016,79.00,80.00,80.00,77.10,78.00
07-11-2016,78.00,77.00,78.00,77.00,78.00
07-12-2016,78.00,76.00,76.00,75.90,75.90
