Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,42.15,40.20,40.80,38.25,38.65
05-19-2016,38.65,38.60,39.05,37.55,37.80
05-20-2016,37.80,37.60,38.30,37.00,37.25
05-20-2016,37.25,37.10,37.50,36.30,36.45
05-23-2016,36.45,36.65,36.70,35.30,35.60
05-24-2016,35.60,35.70,35.70,34.75,34.90
05-25-2016,34.90,35.40,35.85,35.10,35.35
05-26-2016,35.35,35.45,35.70,34.85,35.00
05-27-2016,35.00,35.05,36.20,34.85,35.65
05-30-2016,35.65,36.50,36.90,35.25,36.30
05-31-2016,36.30,35.90,36.45,35.70,35.95
06-01-2016,35.95,36.40,36.80,36.25,36.45
06-02-2016,36.45,36.05,38.05,36.05,38.00
06-04-2016,38.00,38.25,40.30,37.75,39.10
06-06-2016,39.10,39.50,40.00,38.10,38.60
06-07-2016,38.60,39.00,39.05,37.90,38.00
06-08-2016,38.00,38.40,39.50,38.25,39.20
06-09-2016,39.20,39.75,39.75,38.45,38.80
06-10-2016,38.80,39.10,39.75,38.10,38.25
06-13-2016,38.25,38.00,38.15,37.55,38.00
06-14-2016,38.00,38.10,39.20,38.00,38.20
06-15-2016,38.20,38.85,38.85,37.90,38.20
06-16-2016,38.20,38.15,38.45,37.45,38.00
06-17-2016,38.00,38.05,38.40,37.50,37.75
06-19-2016,37.75,37.60,38.05,37.50,37.75
06-21-2016,37.75,38.15,38.35,37.55,37.70
06-22-2016,37.70,37.85,38.00,37.10,37.20
06-23-2016,37.20,37.60,38.00,36.90,36.95
06-24-2016,36.95,35.80,36.45,35.30,36.15
06-27-2016,36.15,35.50,37.95,35.50,37.60
06-28-2016,37.60,37.90,39.75,37.60,38.60
06-29-2016,38.60,38.30,39.40,38.05,38.85
06-30-2016,38.85,39.00,42.60,38.55,42.25
07-01-2016,42.25,42.00,42.30,40.80,41.15
07-05-2016,41.15,41.70,43.25,40.55,42.25
07-05-2016,42.25,43.00,43.00,41.65,41.90
07-07-2016,41.90,42.00,42.50,41.70,41.75
07-08-2016,41.75,41.60,41.60,40.35,40.55
07-11-2016,40.55,41.20,42.15,41.15,41.30
07-12-2016,41.30,41.60,42.05,40.95,41.90
