Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,629.80,630.00,635.50,623.10,625.10
05-19-2016,625.10,624.95,630.00,622.00,624.95
05-20-2016,624.95,626.55,628.20,603.00,607.00
05-20-2016,607.00,608.20,615.30,601.15,603.50
05-23-2016,603.50,604.00,618.80,600.00,606.75
05-24-2016,606.75,608.00,614.75,603.00,606.80
05-25-2016,606.80,611.00,623.00,610.00,620.20
05-26-2016,620.20,625.00,640.00,620.40,636.05
05-27-2016,636.05,637.00,642.00,631.65,637.05
05-30-2016,637.05,635.15,645.90,635.15,637.50
05-31-2016,637.50,638.90,643.65,625.10,637.60
06-01-2016,637.60,639.00,647.00,625.50,629.90
06-02-2016,629.90,630.00,633.70,624.35,626.65
06-04-2016,626.65,627.90,668.70,626.00,630.80
06-06-2016,630.80,621.25,633.90,590.20,595.55
06-07-2016,595.55,599.00,619.10,597.55,608.90
06-08-2016,608.90,605.50,617.35,604.95,607.15
06-09-2016,607.15,607.00,610.35,599.15,601.90
06-10-2016,601.90,606.00,610.00,590.10,596.20
06-13-2016,596.20,602.00,615.00,600.00,602.35
06-14-2016,602.35,603.00,613.25,601.00,603.10
06-15-2016,603.10,605.70,609.90,597.25,600.20
06-16-2016,600.20,602.20,607.85,586.00,589.35
06-17-2016,589.35,594.00,600.50,583.25,586.30
06-19-2016,586.30,586.00,586.00,551.00,570.35
06-21-2016,570.35,566.65,582.00,566.65,579.05
06-22-2016,579.05,580.80,582.00,567.25,569.10
06-23-2016,569.10,570.00,573.30,556.05,560.05
06-24-2016,560.05,548.00,550.45,523.60,546.75
06-27-2016,546.75,546.00,580.00,545.05,566.75
06-28-2016,566.75,568.00,574.90,565.55,569.50
06-29-2016,569.50,570.00,574.00,563.30,566.50
06-30-2016,566.50,568.50,580.25,567.00,571.70
07-01-2016,571.70,572.10,574.40,560.10,563.95
07-05-2016,563.95,568.95,572.70,562.00,564.70
07-05-2016,564.70,565.15,576.55,564.25,566.60
07-07-2016,566.60,567.00,572.25,560.55,562.25
07-08-2016,562.25,565.00,566.45,555.00,556.80
07-11-2016,556.80,564.45,579.00,562.30,568.20
07-12-2016,568.20,572.35,572.35,557.50,560.00
