Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,16.45,16.75,16.75,16.20,16.40
05-19-2016,16.40,16.50,16.55,16.15,16.30
05-19-2016,16.30,16.75,16.90,16.05,16.25
05-20-2016,16.25,16.15,16.40,16.00,16.10
05-23-2016,16.10,16.05,16.35,16.00,16.00
05-24-2016,16.00,16.00,17.35,15.90,16.25
05-25-2016,16.25,16.45,16.65,15.90,16.00
05-26-2016,16.00,16.25,16.30,16.00,16.00
05-27-2016,16.00,16.95,16.95,15.80,15.95
05-30-2016,15.95,15.75,16.15,15.60,15.90
05-31-2016,15.90,16.25,16.25,15.60,15.80
06-01-2016,15.80,16.05,16.70,15.70,15.90
06-02-2016,15.90,16.30,16.45,15.80,15.90
06-04-2016,15.90,16.00,16.60,15.75,15.80
06-06-2016,15.80,16.30,16.30,15.70,15.70
06-07-2016,15.75,16.50,16.75,16.15,16.45
06-08-2016,16.45,16.55,16.55,16.05,16.30
06-09-2016,16.30,16.65,16.65,16.00,16.25
06-10-2016,16.25,16.25,16.25,15.70,15.80
06-13-2016,15.80,15.80,16.25,15.65,15.90
06-14-2016,15.90,16.00,16.30,15.95,16.05
06-15-2016,16.05,16.15,16.45,15.95,16.30
06-16-2016,16.30,16.25,16.40,15.90,16.15
06-17-2016,16.15,16.20,16.25,15.90,15.95
06-19-2016,15.95,16.25,16.35,16.00,16.05
06-21-2016,16.05,16.20,16.35,15.95,16.20
06-22-2016,16.20,16.20,17.00,16.20,16.55
06-23-2016,16.55,16.35,18.35,16.25,17.85
06-24-2016,17.85,17.00,17.70,16.50,17.55
06-27-2016,17.55,17.25,18.75,17.25,18.00
06-28-2016,18.00,18.40,18.65,17.75,18.05
06-29-2016,18.05,18.10,18.30,17.85,18.00
06-30-2016,18.00,18.00,18.80,18.00,18.00
07-01-2016,18.00,18.25,18.25,17.75,17.95
07-05-2016,17.95,17.75,18.20,17.60,17.80
07-05-2016,17.80,17.75,19.15,17.60,18.40
07-07-2016,18.40,18.40,18.75,18.10,18.25
07-08-2016,18.25,18.20,19.40,17.85,18.30
07-11-2016,18.30,18.45,18.60,18.10,18.15
07-12-2016,18.15,18.25,18.55,18.15,18.25
07-13-2016,18.25,18.05,18.50,17.80,17.95
