Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,47.65,47.80,48.55,47.35,47.95
05-19-2016,47.95,47.35,49.00,47.35,48.80
05-19-2016,48.80,48.70,49.10,47.65,48.15
05-20-2016,48.15,48.55,49.05,47.00,47.20
05-23-2016,47.20,46.95,48.90,46.25,48.10
05-24-2016,48.10,47.05,48.00,46.60,47.10
05-25-2016,47.10,47.90,48.05,47.25,47.85
05-26-2016,47.85,47.85,47.85,47.00,47.05
05-27-2016,47.05,47.45,49.95,47.00,48.10
05-30-2016,48.10,48.05,48.85,47.25,47.45
05-31-2016,47.45,48.00,48.15,47.20,47.65
06-01-2016,47.65,47.90,49.15,47.50,48.70
06-02-2016,48.70,49.00,50.50,49.00,50.05
06-04-2016,50.05,51.40,51.40,48.20,48.95
06-06-2016,48.95,48.95,50.20,48.95,49.35
06-07-2016,49.35,49.50,50.00,49.25,49.40
06-08-2016,49.40,49.45,50.00,49.45,49.55
06-09-2016,49.55,49.90,50.05,49.05,49.50
06-10-2016,49.50,49.50,50.10,49.35,49.55
06-13-2016,49.55,49.50,49.50,47.90,48.60
06-14-2016,48.60,48.55,49.30,48.40,48.75
06-15-2016,48.75,49.00,54.45,48.80,51.95
06-16-2016,51.95,52.30,52.30,49.90,50.70
06-17-2016,50.70,51.20,52.80,51.00,51.45
06-19-2016,51.45,50.80,51.30,50.60,50.75
06-21-2016,50.75,51.00,51.10,50.10,50.25
06-22-2016,50.25,50.40,50.80,49.50,49.65
06-23-2016,49.65,50.00,51.00,49.50,50.25
06-24-2016,50.25,49.00,49.25,47.80,48.00
06-27-2016,48.00,48.00,49.45,48.00,48.70
06-28-2016,48.70,49.00,49.35,48.50,49.15
06-29-2016,49.15,49.10,51.25,49.05,49.75
06-30-2016,49.75,49.70,50.60,49.00,49.20
07-01-2016,49.20,49.55,50.50,49.30,49.50
07-05-2016,49.50,50.00,50.90,49.65,50.55
07-05-2016,50.55,50.80,50.80,49.85,50.50
07-07-2016,50.50,50.50,50.75,49.95,50.25
07-08-2016,50.25,50.50,50.50,49.50,49.60
07-11-2016,49.60,50.50,50.70,49.70,49.80
07-12-2016,49.80,49.90,50.45,48.95,49.10
