Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,52.50,55.00,55.00,55.00,55.00
05-19-2016,52.50,55.00,55.00,55.00,55.00
05-20-2016,55.00,52.25,52.25,52.25,52.25
05-21-2016,55.00,52.25,52.25,52.25,52.25
05-23-2016,52.25,49.65,49.65,49.65,49.65
05-24-2016,49.65,48.00,48.00,48.00,48.00
05-25-2016,48.00,45.70,47.00,45.70,45.70
05-26-2016,45.70,44.50,47.95,43.50,47.85
05-27-2016,45.70,44.50,47.95,43.50,47.85
05-30-2016,47.85,50.00,50.00,50.00,50.00
05-31-2016,50.00,52.40,52.40,52.30,52.35
06-01-2016,50.00,52.40,52.40,52.30,52.35
06-02-2016,52.35,54.90,54.90,54.90,54.90
06-04-2016,54.90,56.85,56.85,56.85,56.85
06-06-2016,56.85,59.65,59.65,59.55,59.55
06-07-2016,56.85,59.65,59.65,59.55,59.60
06-08-2016,56.85,59.65,59.65,59.55,59.60
06-09-2016,56.85,59.65,59.65,59.55,59.55
06-10-2016,59.60,56.65,62.50,56.65,62.30
06-13-2016,59.60,56.65,62.50,56.65,62.30
06-14-2016,62.30,59.20,59.20,59.20,59.20
06-15-2016,59.20,56.25,56.25,56.25,56.25
06-16-2016,59.20,56.25,56.25,56.25,56.25
06-17-2016,56.25,53.45,53.45,53.45,53.45
06-19-2016,53.45,50.80,50.80,50.80,50.80
06-21-2016,50.80,53.25,53.30,53.25,53.30
06-22-2016,50.80,53.25,53.30,53.25,53.30
06-23-2016,50.80,53.25,53.30,53.25,53.30
06-24-2016,50.80,53.25,53.30,53.25,53.30
06-27-2016,53.30,50.65,55.00,50.65,55.00
06-28-2016,55.00,54.95,55.00,54.80,55.00
06-29-2016,55.00,52.35,52.35,52.25,52.25
06-30-2016,55.00,52.35,52.35,52.25,52.25
07-01-2016,52.25,49.65,54.85,49.65,54.85
07-05-2016,54.85,55.50,55.50,52.15,52.15
07-05-2016,52.15,49.55,54.45,49.55,49.55
07-08-2016,49.55,47.10,51.50,47.10,47.65
07-08-2016,47.65,45.30,48.20,45.30,46.20
07-11-2016,46.20,47.95,48.50,47.95,48.40
07-12-2016,48.40,46.45,50.70,46.30,50.35
