Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,70.00,73.40,73.40,70.05,70.05
05-19-2016,70.05,70.60,71.50,68.80,69.50
05-20-2016,69.50,73.40,73.40,65.25,66.30
05-20-2016,66.30,65.65,65.65,59.10,59.90
05-23-2016,59.90,56.00,60.30,55.10,57.90
05-24-2016,57.90,54.00,62.00,52.00,56.60
05-25-2016,56.60,53.15,59.50,53.15,57.35
05-26-2016,57.35,52.55,60.55,52.55,58.80
05-27-2016,58.80,58.00,59.50,55.10,58.10
05-30-2016,58.10,51.10,62.80,51.10,58.30
05-31-2016,58.30,51.20,60.40,51.20,57.00
06-01-2016,57.00,58.00,59.00,58.00,59.00
06-02-2016,59.00,57.20,59.45,57.20,58.35
06-04-2016,58.35,52.30,59.00,52.30,56.70
06-06-2016,56.70,53.10,61.50,53.10,55.25
06-07-2016,55.25,51.00,56.70,51.00,55.45
06-08-2016,55.45,52.75,57.45,52.75,55.00
06-09-2016,55.00,51.50,57.25,51.50,55.00
06-10-2016,55.00,51.00,58.95,51.00,58.25
06-13-2016,58.25,53.05,65.00,53.05,64.05
06-14-2016,64.05,56.05,64.95,56.05,61.75
06-15-2016,61.75,58.00,67.50,58.00,61.70
06-16-2016,61.70,61.05,63.50,60.20,62.90
06-17-2016,62.90,62.10,63.60,61.35,61.70
06-19-2016,61.70,56.15,62.70,56.15,61.75
06-21-2016,61.75,59.00,61.90,59.00,61.70
06-22-2016,61.70,58.05,65.75,58.05,61.70
06-23-2016,61.70,59.10,67.45,59.10,63.45
06-24-2016,63.45,58.50,64.65,58.50,63.00
06-27-2016,63.00,58.55,67.50,58.55,66.30
06-28-2016,66.30,63.30,69.90,61.15,67.55
06-29-2016,67.55,66.05,69.00,64.50,67.00
06-30-2016,67.00,60.30,69.25,60.30,66.75
07-01-2016,66.75,69.75,69.75,63.05,67.50
07-05-2016,67.50,61.50,70.00,61.50,68.00
07-05-2016,68.00,63.00,69.00,63.00,66.15
07-08-2016,66.15,61.20,68.00,61.20,63.15
07-08-2016,63.15,63.80,63.80,62.50,62.65
07-11-2016,62.65,56.50,65.00,56.50,63.05
07-12-2016,63.05,63.40,64.90,62.55,63.00
