Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,262.70,262.00,264.80,256.00,258.90
05-19-2016,258.90,260.00,274.00,258.00,271.00
05-19-2016,271.00,275.60,280.00,261.10,263.80
05-20-2016,263.80,267.80,268.30,249.00,252.30
05-23-2016,252.30,266.00,266.00,250.00,251.55
05-24-2016,251.55,254.90,255.85,241.30,243.60
05-25-2016,243.60,248.85,248.85,242.00,242.20
05-26-2016,242.20,235.10,244.00,235.10,243.65
05-27-2016,243.65,245.90,248.00,239.50,241.50
05-30-2016,241.50,245.40,245.40,238.00,239.65
05-31-2016,239.65,240.50,240.50,235.05,236.55
06-01-2016,236.55,235.50,243.00,235.50,237.90
06-02-2016,237.90,236.55,257.55,236.30,252.65
06-04-2016,252.65,256.60,265.00,251.70,253.45
06-06-2016,253.45,255.85,289.80,254.10,280.20
06-07-2016,280.20,282.90,293.00,277.00,279.65
06-08-2016,279.65,277.00,280.00,271.00,273.10
06-09-2016,273.10,270.20,279.10,269.20,273.70
06-10-2016,273.70,274.90,277.20,267.45,269.60
06-13-2016,269.60,268.15,274.90,262.10,271.40
06-14-2016,271.40,274.50,276.60,270.00,270.90
06-15-2016,270.90,272.40,299.00,272.40,292.25
06-16-2016,292.25,294.90,295.90,276.30,283.00
06-17-2016,283.00,286.25,290.00,278.40,280.15
06-19-2016,280.15,278.25,283.25,275.75,280.85
06-21-2016,280.85,282.40,291.75,282.00,289.35
06-22-2016,289.35,291.45,295.95,284.10,286.05
06-23-2016,286.05,287.00,287.70,281.35,283.75
06-24-2016,283.75,275.00,277.40,254.15,271.05
06-27-2016,271.05,282.00,284.50,273.50,282.55
06-28-2016,282.55,284.55,309.90,281.00,305.35
06-29-2016,305.35,312.00,322.50,312.00,318.35
06-30-2016,318.35,327.00,328.50,309.05,312.45
07-01-2016,312.45,318.35,318.40,308.05,310.10
07-05-2016,310.10,315.00,327.80,315.00,324.35
07-05-2016,324.35,327.20,339.80,312.20,316.45
07-07-2016,316.45,316.65,318.15,310.00,311.65
07-08-2016,311.65,313.65,322.75,300.10,317.30
07-11-2016,317.30,321.00,340.00,321.00,332.65
07-12-2016,332.65,333.95,334.00,319.05,321.90
