Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,18.35,18.35,18.35,18.35,18.35
05-19-2016,18.35,18.35,18.35,18.35,18.35
05-19-2016,18.35,18.35,18.35,18.35,18.35
05-20-2016,18.35,18.35,18.35,18.35,18.35
05-23-2016,18.35,18.35,18.35,18.35,18.35
05-24-2016,18.35,18.40,18.40,18.35,18.35
05-25-2016,18.35,18.40,18.40,18.35,18.35
05-26-2016,18.35,18.40,18.40,18.35,18.35
05-27-2016,18.35,18.40,18.40,18.40,18.40
05-30-2016,18.35,18.40,18.40,18.40,18.40
05-31-2016,18.35,18.40,18.40,18.40,18.40
06-01-2016,18.35,18.40,18.40,18.40,18.40
06-02-2016,18.35,18.40,18.40,18.40,18.40
06-04-2016,18.35,18.40,18.40,18.40,18.40
06-06-2016,18.40,18.45,18.45,18.40,18.40
06-07-2016,18.40,18.45,18.45,18.40,18.40
06-08-2016,18.40,18.45,18.45,18.40,18.40
06-09-2016,18.40,18.45,18.45,18.40,18.40
06-10-2016,18.40,18.45,18.45,18.40,18.40
06-13-2016,18.40,18.45,18.45,18.40,18.40
06-14-2016,18.40,18.45,18.45,18.40,18.40
06-15-2016,18.40,18.50,18.50,18.40,18.40
06-16-2016,18.40,18.50,18.50,18.50,18.50
06-17-2016,18.50,18.50,18.50,18.50,18.50
06-19-2016,18.50,18.50,18.50,18.50,18.50
06-21-2016,18.50,18.50,18.50,18.50,18.50
06-22-2016,18.50,18.50,18.50,18.50,18.50
06-23-2016,18.50,18.50,18.50,18.50,18.50
06-24-2016,18.50,18.50,18.50,18.50,18.50
06-27-2016,18.50,18.50,18.50,18.50,18.50
06-28-2016,18.50,18.50,18.50,18.50,18.50
06-29-2016,18.50,18.50,18.50,18.50,18.50
06-30-2016,18.50,18.50,18.50,18.50,18.50
07-01-2016,18.50,18.50,18.50,18.50,18.50
07-05-2016,18.50,18.50,18.50,18.50,18.50
07-05-2016,18.50,18.50,18.50,18.50,18.50
07-07-2016,18.50,19.40,19.40,19.40,19.40
07-08-2016,18.50,19.40,19.40,19.40,19.40
07-11-2016,18.50,19.40,19.40,19.40,19.40
07-12-2016,18.50,19.40,19.40,19.40,19.40
