Date,Previous Close,Today Open,Today High,Today Low,Today Close
05-18-2016,51.40,51.90,51.90,50.50,50.70
05-19-2016,50.70,50.35,51.35,50.30,50.55
05-20-2016,50.55,50.80,51.15,49.15,49.40
05-21-2016,49.40,49.95,50.00,48.50,48.65
05-23-2016,48.65,49.85,49.85,47.55,47.95
05-24-2016,47.95,48.90,48.90,47.00,47.35
05-25-2016,47.35,48.40,51.00,48.00,50.65
05-26-2016,50.65,50.95,53.40,49.65,51.65
05-27-2016,51.65,52.15,52.15,50.65,51.05
05-30-2016,51.05,51.05,51.85,50.10,50.45
05-31-2016,50.45,50.90,50.90,49.55,49.75
06-01-2016,49.75,50.00,52.40,50.00,51.50
06-02-2016,51.50,51.80,52.15,50.65,51.25
06-04-2016,51.25,51.40,51.70,50.10,50.40
06-06-2016,50.40,50.00,50.55,49.60,49.90
06-07-2016,49.90,49.85,50.40,49.15,49.50
06-08-2016,49.50,49.30,51.30,49.30,49.60
06-09-2016,49.60,49.60,50.60,49.60,49.90
06-10-2016,49.90,49.50,50.40,49.30,49.45
06-13-2016,49.45,49.50,49.60,48.50,49.10
06-14-2016,49.10,49.40,49.50,48.65,48.75
06-15-2016,48.75,49.35,51.20,49.05,49.90
06-16-2016,49.90,49.55,50.80,49.35,49.55
06-17-2016,49.55,49.70,50.35,48.00,48.40
06-19-2016,48.40,48.10,50.50,48.00,49.70
06-21-2016,49.70,49.45,53.75,49.10,53.45
06-22-2016,53.45,54.50,55.40,52.30,52.90
06-23-2016,52.90,53.35,53.35,50.00,50.40
06-24-2016,50.40,50.00,50.00,45.10,48.60
06-27-2016,48.60,49.50,50.50,48.95,49.90
06-28-2016,49.90,50.10,50.50,49.35,49.65
06-29-2016,49.65,50.00,50.30,49.60,49.90
06-30-2016,49.90,50.45,50.45,49.60,49.80
07-01-2016,49.80,50.15,50.30,49.50,49.90
07-05-2016,49.90,50.40,50.50,49.60,49.75
07-05-2016,49.75,50.00,50.40,48.90,49.20
07-08-2016,49.20,50.20,51.50,49.75,50.05
07-08-2016,50.05,50.15,50.20,49.15,49.45
07-11-2016,49.45,50.70,51.45,49.50,50.75
07-12-2016,50.75,51.90,52.80,49.10,49.40
